udi,product_id,type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min
6343,M21202,M,300.3,309.8,1444,42.0,3
9334,L56513,L,298.5,309.0,1450,40.5,199
2409,L49588,L,299.0,308.4,1356,52.6,188
835,H30248,H,296.6,307.4,1333,50.2,177
5984,H35397,H,300.8,310.8,1466,45.2,188
6169,M21028,M,300.7,310.6,1778,27.1,215
1501,M16360,M,298.0,308.7,2101,17.4,198
5051,H34464,H,304.0,313.0,1701,30.4,171
9461,M24320,M,298.4,309.2,1399,45.2,125
1534,M16393,M,298.0,308.9,1339,51.4,68
8548,M23407,M,298.4,309.4,1666,24.3,68
3521,L50700,L,301.9,311.0,1669,32.2,191
1151,L48330,L,297.1,307.9,1456,50.0,166
8781,M23640,M,297.5,308.6,1327,52.1,24
7215,M22074,M,299.9,309.8,1625,41.2,109
9486,L56665,L,298.9,309.6,1589,34.2,197
6444,L53623,L,300.8,310.3,1537,33.3,52
5446,M20305,M,303.0,312.8,1648,32.1,104
8022,M22881,M,301.0,312.0,1499,34.6,207
6594,L53773,L,301.6,310.7,1679,29.5,10
7873,L55052,L,300.6,312.3,1532,37.2,54
9338,H38751,H,298.5,308.9,1500,40.3,207
9571,L56750,L,299.7,310.9,1384,48.2,188
1975,L49154,L,298.0,307.6,1450,48.7,138
5896,M20755,M,301.2,310.9,1460,46.7,166
6764,M21623,M,301.4,310.8,1782,26.5,6
2368,M17227,M,299.3,308.5,1496,39.4,80
8920,L56099,L,297.2,308.3,1693,28.0,188
6026,L53205,L,300.7,311.0,1336,53.3,68
4348,H33761,H,301.9,309.8,1724,27.5,126
3787,L50966,L,302.3,310.9,1587,36.6,20
5789,L52968,L,301.8,311.5,1443,43.3,134
7131,L54310,L,300.6,309.9,1428,48.8,109
4931,L52110,L,303.4,312.3,1663,33.9,78
4148,L51327,L,301.9,310.3,1398,44.0,65
7297,H36710,H,300.0,310.4,1881,21.9,102
1864,M16723,M,297.9,307.7,1517,39.5,69
8379,M23238,M,298.8,309.9,1331,61.6,46
9432,L56611,L,298.0,308.6,1430,57.0,43
1852,M16711,M,297.7,307.3,1365,49.2,36
5251,L52430,L,303.5,312.9,1332,52.9,66
6039,L53218,L,300.7,311.0,1496,38.3,99
2222,L49401,L,299.6,309.0,1372,60.4,149
417,L47596,L,297.4,308.5,1495,37.8,211
1223,L48402,L,297.0,308.3,1399,59.0,135
5101,M19960,M,304.2,313.5,1437,47.2,102
1652,L48831,L,298.0,307.8,1414,51.7,140
810,L47989,L,296.9,307.6,1452,45.7,122
3732,M18591,M,302.2,311.2,1377,43.0,91
797,M15656,M,296.9,307.9,2010,18.9,86
7809,L54988,L,299.9,311.4,1627,36.7,118
8347,L55526,L,298.7,309.7,1601,35.7,176
5368,M20227,M,303.1,312.5,1766,26.7,157
989,H30402,H,296.3,307.1,1774,25.9,154
9197,L56376,L,298.0,308.9,1607,37.7,49
9260,M24119,M,298.2,309.0,1694,28.0,5
5293,M20152,M,303.9,313.3,1567,35.0,168
261,M15120,M,298.2,308.3,1522,49.1,22
5248,L52427,L,303.6,313.1,1405,38.3,58
3235,L50414,L,300.8,309.4,1489,38.4,109
6301,L53480,L,301.2,310.7,1517,39.4,107
5202,M20061,M,303.7,312.7,1396,47.3,158
3746,L50925,L,302.6,311.4,1738,25.8,128
6293,L53472,L,301.0,310.4,1614,31.6,84
8281,L55460,L,298.8,310.6,1602,39.1,211
2191,M17050,M,299.6,309.1,1471,44.3,67
6440,L53619,L,300.6,310.1,1656,32.7,44
2336,L49515,L,299.2,308.4,1509,39.4,0
4019,M18878,M,302.0,310.8,1783,23.1,190
3129,M17988,M,300.1,309.5,1462,42.8,50
5429,L52608,L,302.7,312.4,1453,47.3,62
4561,L51740,L,302.7,310.7,1597,41.9,15
6254,L53433,L,300.9,310.4,1615,30.9,200
2228,L49407,L,299.5,308.8,1965,20.4,164
5900,H35313,H,300.9,310.6,1686,27.7,176
2306,H31719,H,299.2,308.5,1342,47.5,147
5998,M20857,M,300.5,310.2,1571,34.6,228
4355,L51534,L,302.0,309.8,1456,58.1,145
5224,M20083,M,303.9,313.2,1350,47.2,2
3349,M18208,M,301.3,310.7,1532,40.7,178
3431,H32844,H,301.6,310.6,1821,26.2,171
1607,L48786,L,297.8,307.7,1505,39.7,25
4178,L51357,L,302.5,310.9,1477,39.2,144
9240,H38653,H,298.2,308.8,1436,51.9,153
6479,L53658,L,300.5,309.8,1663,29.1,145
7533,M22392,M,300.0,311.3,1629,32.1,55
6582,L53761,L,301.4,310.4,1559,36.0,196
833,L48012,L,296.6,307.4,1521,38.6,173
9088,L56267,L,297.1,307.8,1681,27.6,181
1348,L48527,L,298.7,310.2,1717,27.3,26
7797,L54976,L,300.1,311.5,1454,52.4,90
3526,L50705,L,301.8,310.9,1609,31.7,202
3502,H32915,H,301.9,311.0,1291,63.6,137
3809,M18668,M,302.3,310.9,1762,24.5,73
4530,M19389,M,302.4,310.4,1586,34.3,149
6009,L53188,L,300.7,310.7,1431,39.3,22
4338,L51517,L,301.6,309.9,1440,43.4,100
3512,L50691,L,301.8,311.0,1322,53.0,166
4041,L51220,L,302.0,310.8,1767,27.4,11
2592,L49771,L,298.9,308.6,1522,46.4,2
3489,L50668,L,301.9,310.9,1379,54.8,99
2959,M17818,M,300.8,309.5,1481,44.5,49
7795,M22654,M,300.2,311.6,1415,55.8,82
3507,H32920,H,301.6,310.8,1435,47.2,152
7014,M21873,M,300.4,310.4,1544,36.3,21
9423,L56602,L,298.1,308.5,1665,29.6,20
7828,M22687,M,299.8,311.1,1452,44.3,167
8164,L55343,L,299.7,311.1,1574,36.4,135
6971,L54150,L,300.7,311.0,1436,44.9,119
7969,L55148,L,300.9,312.2,1811,23.2,72
5756,L52935,L,302.1,311.4,1391,49.2,52
2738,M17597,M,299.7,309.1,1508,41.2,152
2453,M17312,M,299.1,308.6,2329,14.6,95
4659,L51838,L,303.1,311.2,1679,34.8,25
4403,H33816,H,302.3,310.2,1506,33.8,43
5790,M20649,M,301.8,311.5,1416,49.0,136
1673,L48852,L,298.1,307.8,1432,49.8,198
5054,L52233,L,303.8,312.9,1514,34.3,180
4474,L51653,L,302.7,310.5,1551,35.9,6
7798,L54977,L,300.0,311.4,1476,39.0,92
8578,L55757,L,297.6,308.3,1502,43.2,139
1317,L48496,L,299.0,310.3,1507,36.7,173
6232,M21091,M,301.3,311.0,1495,40.8,148
8262,H37675,H,299.2,310.6,1434,48.4,153
9945,L57124,L,298.3,307.9,1399,47.8,99
818,L47997,L,296.8,307.6,1368,52.0,140
2382,L49561,L,299.1,308.2,1493,34.9,119
8818,H38231,H,297.3,308.6,1376,53.5,112
71,M14930,M,298.9,309.0,1924,22.6,193
1267,L48446,L,298.0,309.6,1633,34.8,41
1578,L48757,L,298.3,308.4,1484,43.4,172
9213,L56392,L,298.0,308.9,1390,53.9,88
1681,M16540,M,297.9,307.4,1610,34.6,219
3967,L51146,L,302.3,311.5,1530,37.8,57
1326,H30739,H,298.8,310.1,1567,36.8,197
1366,L48545,L,298.7,310.1,1676,33.5,70
3677,M18536,M,302.2,311.5,1562,38.0,162
9718,L56897,L,298.9,309.9,1500,44.2,115
1091,L48270,L,296.9,307.7,1464,41.4,6
2457,L49636,L,299.1,308.6,1555,36.6,104
8808,M23667,M,297.4,308.6,1604,32.8,85
6834,L54013,L,301.1,311.1,1387,53.1,188
5679,M20538,M,302.2,311.7,1584,36.2,63
9507,H38920,H,299.3,310.4,1548,41.6,25
9274,H38687,H,298.2,308.7,1520,35.7,40
4020,M18879,M,302.0,310.9,1558,45.3,193
656,L47835,L,297.7,309.1,1435,38.8,165
1772,L48951,L,298.4,307.9,1446,45.3,23
3111,H32524,H,299.9,309.2,1525,33.2,0
6290,L53469,L,301.0,310.5,1248,61.4,77
5657,M20516,M,302.3,311.5,1316,47.2,4
1751,M16610,M,298.4,307.8,1617,31.6,173
75,L47254,L,298.9,309.0,1601,32.3,202
5661,L52840,L,302.2,311.4,1477,41.7,15
1928,H31341,H,298.0,307.8,1314,47.8,19
1543,L48722,L,298.3,308.9,1379,54.7,91
3615,L50794,L,301.8,311.0,1606,33.3,4
8219,L55398,L,299.1,310.5,1485,37.8,46
3505,M18364,M,301.7,310.8,1524,41.3,147
5339,M20198,M,303.3,312.5,1674,32.7,76
6380,L53559,L,300.1,309.7,1485,45.9,100
1964,L49143,L,297.7,307.5,1379,43.3,111
2129,L49308,L,299.4,309.0,1800,24.3,128
2241,L49420,L,299.2,308.5,1457,44.7,195
3667,M18526,M,302.3,311.6,1608,39.9,136
6714,L53893,L,301.3,310.6,1416,45.2,88
6389,H35802,H,300.3,309.9,1509,46.6,125
2593,L49772,L,298.9,308.6,1539,45.4,4
171,M15030,M,298.4,308.2,1610,35.0,24
5841,M20700,M,301.3,311.1,1581,30.9,31
2097,M16956,M,299.5,309.4,1387,56.2,32
9624,L56803,L,298.9,310.1,1356,47.8,116
5267,M20126,M,303.4,312.8,1518,38.7,103
3251,H32664,H,301.2,309.8,1709,27.0,151
9859,L57038,L,298.5,309.5,1547,33.1,68
5139,M19998,M,304.3,313.6,1489,40.3,196
3206,M18065,M,300.1,308.9,1548,38.4,31
9780,L56959,L,298.8,309.8,1509,36.2,57
3586,L50765,L,301.9,310.7,1947,25.0,137
3722,M18581,M,302.2,311.2,1544,43.6,63
1815,L48994,L,298.1,307.7,1650,34.1,138
2346,L49525,L,299.2,308.4,1475,38.7,22
6149,L53328,L,301.1,311.2,1564,37.0,165
2707,M17566,M,299.6,309.1,1560,37.1,73
5849,L53028,L,301.4,311.3,2323,15.9,50
5793,M20652,M,301.8,311.3,1624,31.6,145
1310,L48489,L,298.9,310.2,1654,31.1,158
5372,L52551,L,302.9,312.3,1435,47.7,173
210,L47389,L,298.4,308.6,1477,44.0,124
3443,M18302,M,301.4,310.5,1495,52.5,201
2902,L50081,L,300.6,309.4,1425,40.3,103
4529,L51708,L,302.5,310.5,1507,39.5,147
9505,L56684,L,299.2,310.3,1440,47.0,21
8906,L56085,L,297.3,308.6,1385,55.2,156
9649,L56828,L,299.1,310.1,1416,41.2,185
2899,M17758,M,300.6,309.5,1550,40.2,96
285,L47464,L,298.2,308.3,2051,19.2,90
6352,L53531,L,300.0,309.7,1542,47.1,25
3080,L50259,L,300.1,309.3,1340,56.0,130
9157,M24016,M,297.5,308.4,1369,54.8,145
1005,H30418,H,296.3,307.2,1424,42.0,196
9602,L56781,L,298.9,310.1,2109,18.0,61
8283,M23142,M,298.9,310.7,1638,33.6,218
457,H29870,H,297.3,308.7,1478,47.6,98
8683,M23542,M,297.2,308.5,1353,46.5,185
7086,L54265,L,300.6,310.3,1484,41.0,213
4231,L51410,L,302.2,310.8,1673,32.9,52
8954,L56133,L,297.3,308.0,1518,36.0,59
6042,M20901,M,300.7,311.0,1418,49.3,106
352,M15211,M,297.6,308.4,1611,31.0,48
399,H29812,H,297.4,308.3,1502,43.6,169
3450,L50629,L,301.7,310.7,1605,33.3,220
1190,M16049,M,297.2,308.3,1794,27.5,38
4307,L51486,L,301.6,310.0,1869,22.9,18
217,L47396,L,298.3,308.6,1499,38.3,142
3605,L50784,L,301.8,310.8,1557,33.3,190
9060,L56239,L,297.2,308.3,1805,25.6,103
7914,L55093,L,300.7,312.1,1395,41.9,157
7609,L54788,L,300.5,311.4,1642,27.1,37
3048,L50227,L,300.2,309.4,1558,38.3,51
3883,L51062,L,302.5,311.6,1419,43.7,39
9194,M24053,M,297.9,309.0,1530,40.9,42
6340,L53519,L,300.5,310.0,1451,48.6,208
321,H29734,H,297.8,308.4,1550,38.2,185
186,L47365,L,298.2,308.2,1446,38.2,61
5565,L52744,L,302.4,311.8,1416,46.1,202
3090,H32503,H,300.1,309.3,1520,38.2,158
6271,L53450,L,300.9,310.4,2021,18.8,30
1839,M16698,M,297.8,307.2,1456,39.6,199
2258,L49437,L,299.1,308.3,1892,25.2,34
529,M15388,M,297.5,309.5,1553,42.4,60
4578,L51757,L,303.0,311.2,1800,23.7,61
4843,M19702,M,303.3,311.8,1489,49.4,64
7216,L54395,L,299.9,309.8,1477,47.7,112
5208,M20067,M,303.8,312.7,1488,41.3,175
2800,L49979,L,300.3,309.6,1404,44.6,87
5653,L52832,L,302.4,311.8,1727,26.5,213
3802,M18661,M,302.2,310.9,1771,27.6,54
2351,L49530,L,299.3,308.6,1744,26.4,33
1862,M16721,M,297.9,307.6,1609,30.3,64
3731,M18590,M,302.3,311.2,1405,47.7,88
822,L48001,L,296.7,307.6,1474,41.7,148
7849,H37262,H,300.2,311.6,1547,37.7,217
10,M14869,M,298.5,309.0,1741,28.0,21
9955,M24814,M,298.1,307.9,1446,42.8,121
6973,L54152,L,300.7,311.0,1377,49.9,124
5218,M20077,M,303.8,312.8,1420,47.9,200
4761,L51940,L,303.6,311.7,1546,38.5,64
4743,L51922,L,303.3,311.3,1592,33.7,14
6122,L53301,L,300.9,311.1,1457,37.4,96
3880,M18739,M,302.6,311.7,1430,51.7,32
2240,L49419,L,299.2,308.6,1381,50.0,193
1909,L49088,L,297.9,307.6,1977,20.2,182
5470,M20329,M,302.7,312.2,1439,42.5,164
8929,L56108,L,297.4,308.4,1531,41.5,213
5769,L52948,L,301.7,311.3,1421,45.9,85
548,M15407,M,297.5,309.4,1482,39.3,112
6940,M21799,M,300.7,311.3,1348,53.0,35
5833,L53012,L,301.3,311.2,1675,32.1,12
5711,H35124,H,302.2,311.7,1413,46.5,147
9984,L57163,L,298.7,308.4,1694,28.7,195
1176,M16035,M,297.2,308.3,1578,37.8,3
390,M15249,M,297.6,308.7,1408,54.8,147
8769,M23628,M,297.5,308.7,1363,53.6,194
216,L47395,L,298.3,308.6,1548,40.3,140
3905,H33318,H,302.2,311.1,1426,50.6,101
7482,H36895,H,300.2,311.4,1506,36.1,141
3520,M18379,M,301.9,310.9,1569,32.5,188
9657,L56836,L,299.0,310.1,1623,33.0,210
7932,L55111,L,300.7,311.7,1499,38.4,205
9552,L56731,L,299.4,310.8,1391,48.9,139
3102,H32515,H,299.8,309.0,1467,37.3,193
7668,L54847,L,300.6,311.7,1528,43.9,185
937,M15796,M,295.6,306.1,1418,46.2,24
5453,M20312,M,303.0,312.7,1553,35.8,122
8252,L55431,L,299.0,310.4,1981,21.2,125
6956,L54135,L,300.7,311.2,1399,47.9,80
2492,L49671,L,299.1,308.9,1445,43.4,197
1438,H30851,H,298.8,309.9,1439,45.2,40
3707,L50886,L,302.0,311.3,1567,41.1,26
758,L47937,L,296.9,308.1,1555,33.7,229
1456,L48635,L,299.0,310.4,1382,53.0,89
5835,L53014,L,301.3,311.3,1434,49.8,16
5709,L52888,L,302.3,311.7,1611,38.6,143
9702,L56881,L,298.8,309.8,1485,42.4,74
3943,M18802,M,302.2,311.4,1398,47.2,202
6261,L53440,L,301.1,310.7,1436,45.3,8
6158,L53337,L,301.1,311.2,1774,29.6,186
5762,L52941,L,301.9,311.2,1369,49.8,66
4256,M19115,M,302.5,311.0,1387,52.1,116
3979,L51158,L,302.2,311.3,1382,46.4,94
1665,L48844,L,298.2,308.0,1535,38.0,179
9513,L56692,L,299.0,310.2,1575,37.8,42
6585,L53764,L,301.5,310.5,1372,44.0,203
9337,L56516,L,298.5,308.9,1725,31.9,205
1027,L48206,L,296.4,307.4,1512,36.8,46
4012,L51191,L,302.2,311.1,1447,52.1,174
3803,M18662,M,302.2,310.9,1488,44.2,57
8366,M23225,M,298.8,309.8,1551,36.6,15
4945,M19804,M,303.6,312.7,1765,27.5,115
814,L47993,L,296.8,307.6,1513,40.0,130
4604,H34017,H,302.9,311.0,1452,58.3,123
2668,M17527,M,299.8,309.3,1663,35.2,208
9339,H38752,H,298.5,309.0,1531,30.8,212
4007,L51186,L,302.1,311.2,1492,45.0,162
8424,L55603,L,299.0,310.4,1452,46.2,168
4914,M19773,M,303.5,312.3,1593,35.2,29
9444,H38857,H,298.0,308.8,1411,53.8,73
9621,L56800,L,298.9,310.0,1470,45.9,109
955,H30368,H,295.6,306.2,1414,42.5,69
7437,L54616,L,300.0,311.4,1487,41.2,22
5409,L52588,L,302.6,312.4,1628,33.0,15
3407,L50586,L,301.2,310.4,1470,44.0,113
6758,L53937,L,301.8,311.2,1822,26.2,204
6556,H35969,H,301.5,310.7,1394,46.7,130
4543,M19402,M,302.5,310.4,1581,32.7,181
9296,M24155,M,298.2,309.0,1413,47.9,97
2550,L49729,L,299.4,309.2,1489,42.3,114
282,L47461,L,298.1,308.0,1626,36.5,83
3553,M18412,M,301.8,310.9,1358,52.3,56
6218,M21077,M,301.0,310.7,1455,46.1,103
9253,M24112,M,298.1,309.0,1533,36.1,189
6738,M21597,M,301.7,311.0,1537,33.5,146
6927,H36340,H,301.1,311.6,1417,53.4,0
9903,H39316,H,298.7,309.3,1402,45.3,190
1076,H30489,H,296.9,307.8,1345,54.5,172
1321,M16180,M,299.0,310.3,1540,38.1,182
7218,L54397,L,299.9,309.8,1716,28.2,117
4209,M19068,M,302.3,310.9,1627,32.3,0
759,L47938,L,296.8,308.0,1497,41.7,231
5639,L52818,L,302.6,312.1,1519,38.1,178
1307,L48486,L,298.8,310.0,1487,41.4,152
7470,L54649,L,300.3,311.6,1607,33.5,109
8664,L55843,L,297.5,308.6,1671,29.4,136
7555,M22414,M,300.3,311.4,1371,50.2,109
8103,L55282,L,300.3,311.8,1413,46.0,182
7844,M22703,M,300.1,311.7,1400,48.5,205
509,L47688,L,297.7,309.3,1893,24.6,15
738,H30151,H,296.9,308.3,1474,39.2,177
9068,L56247,L,297.1,308.2,1351,56.6,126
2153,M17012,M,299.3,308.8,1648,28.4,188
2096,L49275,L,299.4,309.3,1525,41.5,30
9503,L56682,L,299.3,310.2,1495,49.2,16
5084,L52263,L,304.1,313.1,1327,54.1,57
5522,L52701,L,302.6,311.9,1397,46.9,82
8445,M23304,M,298.6,309.9,1818,24.9,9
8197,L55376,L,299.4,310.8,1622,33.6,217
8441,L55620,L,298.6,309.8,1370,56.0,0
6197,L53376,L,300.9,310.8,1701,30.4,55
2056,L49235,L,299.6,309.4,1643,32.9,145
9929,M24788,M,298.4,308.5,1576,27.4,55
852,M15711,M,296.2,307.2,1389,48.6,7
3534,L50713,L,302.0,311.0,1563,36.2,8
2273,M17132,M,299.3,308.6,1448,52.1,71
8831,H38244,H,297.3,308.7,1430,42.8,153
2384,L49563,L,299.1,308.2,1568,33.3,123
6726,M21585,M,301.5,310.7,1359,47.1,115
9468,L56647,L,298.6,309.3,1702,27.6,143
913,L48092,L,295.6,306.0,1569,40.4,174
7303,L54482,L,300.1,310.5,1494,44.2,117
665,L47844,L,297.5,308.9,1390,47.4,187
7724,L54903,L,300.5,311.6,1730,30.2,106
7971,M22830,M,300.9,312.1,1297,48.6,76
5905,M20764,M,300.8,310.5,1330,59.0,190
7924,M22783,M,300.8,312.0,1450,45.0,183
8882,H38295,H,298.0,309.2,1520,37.9,89
6400,M21259,M,300.1,309.6,1501,38.0,157
376,L47555,L,297.4,308.2,1533,37.4,115
3484,H32897,H,301.9,310.8,1455,42.7,85
2296,L49475,L,299.4,308.7,1512,37.2,126
2976,H32389,H,300.5,309.4,1360,46.2,93
1139,L48318,L,296.9,307.9,1435,41.6,139
103,L47282,L,298.8,308.8,1555,40.6,61
2174,M17033,M,299.5,309.2,1495,41.6,17
527,L47706,L,297.6,309.5,1373,50.6,55
9378,H38791,H,297.7,308.3,1488,41.0,101
3225,M18084,M,300.6,309.5,1557,33.8,84
3134,H32547,H,300.2,309.6,1442,49.2,61
4074,M18933,M,301.9,310.6,1412,46.5,89
173,M15032,M,298.1,308.0,1924,20.8,29
2069,M16928,M,299.7,309.6,1534,39.1,176
601,L47780,L,297.8,309.7,1547,37.3,25
6469,L53648,L,300.5,309.8,1507,42.5,117
8275,L55454,L,298.9,310.5,1640,29.2,195
2323,L49502,L,299.2,308.7,1514,41.9,196
106,L47285,L,298.8,308.7,1591,31.1,68
9833,L57012,L,298.4,309.2,2118,17.7,210
1059,L48238,L,296.7,307.8,1605,31.3,128
678,L47857,L,297.9,309.2,1478,39.7,10
5831,M20690,M,301.3,311.2,1438,42.4,7
5045,L52224,L,304.1,313.2,1412,47.5,150
2061,L49240,L,299.6,309.5,1803,27.7,159
1411,M16270,M,298.9,310.1,1469,53.2,189
5574,L52753,L,302.5,312.2,1738,25.3,14
1980,H31393,H,298.0,307.6,1420,45.8,150
6482,L53661,L,300.7,309.8,1406,48.4,151
704,H30117,H,297.7,308.9,1479,40.9,87
6334,M21193,M,300.4,309.9,1415,31.8,192
6455,L53634,L,300.7,310.1,1598,32.8,79
4130,M18989,M,301.8,310.3,1666,32.7,19
7584,L54763,L,300.3,311.1,1480,46.6,185
9306,H38719,H,298.3,309.1,1646,30.2,125
9536,M24395,M,299.3,310.6,1609,31.4,99
5897,L53076,L,301.1,310.8,1274,55.7,169
435,M15294,M,297.5,308.5,1484,44.7,40
9850,L57029,L,298.6,309.4,2312,15.5,44
9193,L56372,L,297.9,309.0,1562,35.8,40
8216,L55395,L,299.1,310.5,1437,43.1,40
5625,M20484,M,302.8,312.2,1469,36.9,143
1796,M16655,M,298.1,307.7,1498,38.3,81
5365,L52544,L,303.2,312.6,1601,35.3,148
2305,L49484,L,299.1,308.5,1455,39.8,145
8025,L55204,L,300.9,312.0,1493,38.7,217
6963,M21822,M,300.7,311.1,1373,49.9,96
1119,L48298,L,296.5,307.5,1443,41.8,87
8211,H37624,H,299.2,310.7,1636,29.4,23
4314,L51493,L,301.4,310.1,1502,46.6,37
6117,L53296,L,300.8,310.9,1453,43.9,84
7142,M22001,M,300.4,309.8,1356,44.4,136
1663,H31076,H,298.2,307.9,1462,45.5,171
5021,L52200,L,304.1,313.1,1556,36.3,86
3058,L50237,L,300.1,309.1,1400,46.7,77
1617,H31030,H,297.8,307.8,1662,30.7,48
7388,H36801,H,299.8,310.6,1423,44.6,116
8066,M22925,M,300.5,311.9,1670,26.3,89
5167,H34580,H,304.2,313.5,1546,41.4,58
461,H29874,H,297.3,308.6,1431,42.0,109
9131,L56310,L,297.6,308.6,1576,32.7,83
5551,M20410,M,302.3,311.9,1508,42.3,159
781,M15640,M,296.9,308.0,1409,50.7,43
7195,L54374,L,300.1,310.1,1380,52.6,59
6409,L53588,L,300.3,309.9,1601,31.7,180
8819,M23678,M,297.4,308.7,1481,48.0,117
8946,L56125,L,297.4,308.2,1639,33.8,39
4681,L51860,L,303.6,311.7,1491,39.8,92
9640,L56819,L,299.3,310.4,1725,26.8,167
9797,H39210,H,298.4,309.3,1694,30.9,111
3045,L50224,L,300.2,309.4,1981,21.4,44
3224,H32637,H,300.6,309.5,1495,36.5,79
5843,L53022,L,301.4,311.2,1355,50.6,37
3991,H33404,H,302.2,311.2,1692,28.2,122
7223,M22082,M,299.8,309.7,1320,61.7,134
890,L48069,L,295.6,306.1,1389,46.2,113
7583,H36996,H,300.4,311.2,1489,45.3,180
375,L47554,L,297.4,308.3,1431,43.0,113
1362,M16221,M,298.6,310.1,1458,41.9,61
9307,M24166,M,298.3,309.2,1783,28.3,130
7689,L54868,L,300.6,311.7,1553,39.8,0
1265,M16124,M,297.8,309.3,2243,15.7,36
996,L48175,L,296.3,307.3,1566,35.8,175
4791,L51970,L,303.8,312.8,1443,40.7,145
7682,L54861,L,300.7,311.8,1443,43.7,217
5915,L53094,L,300.7,310.3,1592,36.0,14
2529,L49708,L,298.8,308.6,1730,25.9,59
1418,L48597,L,298.7,309.9,1541,38.5,208
1225,L48404,L,297.1,308.3,1763,25.7,139
998,M15857,M,296.3,307.2,1446,45.9,180
6890,H36303,H,300.9,311.4,1387,42.7,121
7588,L54767,L,300.4,311.1,1405,54.1,193
2590,L49769,L,299.0,308.7,2250,16.6,208
3861,L51040,L,302.6,311.5,1427,38.9,213
6522,L53701,L,301.1,310.1,1666,27.2,40
1631,L48810,L,297.9,307.9,1412,44.5,85
6093,L53272,L,300.9,310.7,1658,28.5,18
5130,M19989,M,304.1,313.3,1725,28.3,177
2254,L49433,L,299.2,308.4,1386,54.1,26
6882,L54061,L,301.0,311.4,1573,37.6,103
3123,L50302,L,300.0,309.3,1473,46.0,35
3804,L50983,L,302.2,310.9,1531,37.5,60
3641,H33054,H,302.4,311.6,1544,39.1,70
847,M15706,M,296.4,307.4,1416,50.0,210
2105,M16964,M,299.3,309.1,1600,35.3,52
4087,L51266,L,302.0,310.5,1567,36.1,124
7273,L54452,L,300.2,310.3,1202,59.5,40
6568,M21427,M,301.3,310.6,1499,36.1,163
6427,L53606,L,300.2,309.7,1448,36.8,14
9760,L56939,L,298.5,309.7,1613,36.7,0
8825,M23684,M,297.3,308.9,1799,24.5,137
6328,L53507,L,300.6,310.0,1425,49.5,174
3136,L50315,L,300.4,309.8,1342,52.5,68
6870,L54049,L,301.0,311.2,1412,42.1,64
4373,M19232,M,301.9,309.6,1439,41.7,201
3202,L50381,L,300.2,309.1,1479,47.0,22
6499,H35912,H,300.8,309.9,2041,19.2,194
4804,L51983,L,303.6,312.5,1710,31.4,180
5088,M19947,M,304.0,313.0,1685,28.2,66
6120,L53299,L,300.9,311.1,1471,39.3,91
8506,L55685,L,298.4,309.7,1530,38.6,161
3608,L50787,L,301.6,310.7,1638,33.8,196
3874,L51053,L,302.6,311.8,1638,35.1,17
401,L47580,L,297.4,308.5,2100,16.9,176
3522,L50701,L,301.9,311.0,1541,38.9,193
9020,L56199,L,297.2,308.1,1662,31.3,0
6759,L53938,L,301.7,311.1,1644,32.8,206
8944,M23803,M,297.3,308.4,1449,44.4,34
8770,M23629,M,297.4,308.6,1452,41.2,197
8658,L55837,L,297.4,308.4,1421,46.0,124
111,L47290,L,298.8,308.6,1872,22.5,82
7792,L54971,L,300.1,311.4,1418,47.7,73
9535,L56714,L,299.3,310.6,1443,45.7,97
7038,L54217,L,300.6,310.6,1514,39.5,87
4376,L51555,L,302.0,309.7,1414,36.3,209
4785,L51964,L,303.9,312.6,1642,32.3,127
1879,M16738,M,298.1,307.7,1424,47.7,103
3987,M18846,M,302.2,311.3,1577,29.8,112
5073,L52252,L,304.1,313.0,1408,45.3,28
143,M15002,M,298.6,308.4,1778,28.2,161
9914,L57093,L,298.5,308.8,1589,30.6,11
8289,M23148,M,298.8,310.6,1640,33.8,9
5105,L52284,L,304.1,313.5,1469,44.6,113
4938,L52117,L,303.4,312.3,1540,38.7,96
6861,L54040,L,301.1,311.2,1910,20.2,41
5825,L53004,L,301.2,311.0,1596,37.2,219
7488,L54667,L,300.3,311.7,1707,33.6,158
6654,M21513,M,301.4,310.3,1610,29.1,166
2540,L49719,L,299.1,308.8,1413,42.1,86
6053,L53232,L,300.9,311.0,2003,20.2,138
8520,L55699,L,298.3,309.6,1420,44.1,197
7219,H36632,H,299.9,309.8,1400,48.7,119
7433,L54612,L,300.1,311.4,1484,43.1,13
7759,L54938,L,300.4,311.8,1689,30.8,196
2219,L49398,L,299.7,309.1,1713,33.5,141
556,M15415,M,297.4,309.4,1539,42.2,134
8413,M23272,M,298.6,309.7,1314,49.7,136
5829,L53008,L,301.3,311.1,1504,39.1,2
1173,L48352,L,297.1,308.1,1446,36.6,227
761,L47940,L,296.7,307.8,1505,39.4,236
6580,L53759,L,301.3,310.4,1501,41.6,192
9137,L56316,L,297.7,308.7,1694,29.1,102
649,H30062,H,297.7,309.3,1400,48.9,147
3028,L50207,L,300.5,309.5,1777,23.6,0
4980,M19839,M,303.7,312.7,1612,36.3,200
7556,L54735,L,300.3,311.3,1332,60.5,112
2047,L49226,L,299.3,309.1,1388,45.5,123
6205,M21064,M,300.9,310.8,1519,34.9,73
6737,L53916,L,301.7,311.0,1527,42.2,144
7346,L54525,L,299.6,310.2,1381,60.5,13
9393,L56572,L,297.6,308.1,1437,46.3,149
