udi,product_id,type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,failure_type
1803,H31216,H,298.1,307.6,1496,44.1,104,No Failure
1805,L48984,L,298.1,307.7,1495,48.1,111,No Failure
1806,H31219,H,298.1,307.7,1376,56.2,113,No Failure
1807,H31220,H,298.0,307.6,1593,32.2,118,No Failure
1808,L48987,L,298.0,307.6,1654,28.9,123,No Failure
1811,L48990,L,298.1,307.6,1364,53.8,129,No Failure
1812,M16671,M,298.1,307.8,1569,31.2,131,No Failure
1813,L48992,L,298.2,307.8,1476,36.8,134,No Failure
1814,L48993,L,298.1,307.7,1479,45.0,136,No Failure
1816,M16675,M,298.1,307.6,1565,36.3,140,No Failure
1818,L48997,L,298.1,307.7,1664,27.6,145,No Failure
1819,M16678,M,298.1,307.7,1435,40.9,147,No Failure
1821,L49000,L,298.1,307.5,1493,43.7,153,No Failure
1822,L49001,L,298.1,307.6,1354,43.3,155,No Failure
1823,L49002,L,298.1,307.6,1488,39.4,157,No Failure
1824,L49003,L,298.1,307.7,1414,48.7,159,No Failure
1825,L49004,L,298.1,307.5,1391,57.4,161,No Failure
1827,H31240,H,297.8,307.3,1516,40.1,166,No Failure
1828,M16687,M,297.9,307.3,1420,47.8,171,No Failure
1829,L49008,L,297.8,307.2,1351,56.3,174,No Failure
1830,L49009,L,297.8,307.2,1880,23.0,176,No Failure
1831,L49010,L,297.8,307.3,1859,24.0,178,No Failure
1833,M16692,M,297.8,307.4,1330,51.7,183,No Failure
1835,L49014,L,297.8,307.2,1498,38.1,188,No Failure
1836,H31249,H,297.8,307.3,1555,35.8,190,No Failure
1837,L49016,L,297.7,307.2,1518,35.8,195,No Failure
1838,L49017,L,297.7,307.2,1392,43.0,197,No Failure
1841,M16700,M,297.7,307.2,1405,43.7,2,No Failure
1842,L49021,L,297.7,307.2,1668,37.8,5,No Failure
1843,H31256,H,297.7,307.1,1855,22.5,7,No Failure
1845,M16704,M,297.6,307.1,1471,44.9,14,No Failure
1846,L49025,L,297.7,307.2,1444,40.0,17,No Failure
1849,H31262,H,297.7,307.2,1429,44.1,26,No Failure
1850,L49029,L,297.7,307.2,1668,32.7,31,No Failure
1851,M16710,M,297.7,307.2,1372,52.8,33,No Failure
1853,M16712,M,297.6,307.1,1526,39.1,39,No Failure
1854,L49033,L,297.6,307.2,1486,40.6,42,No Failure
1855,M16714,M,297.6,307.2,1470,42.6,44,No Failure
1857,M16716,M,297.8,307.4,1752,26.1,52,No Failure
1858,L49037,L,297.7,307.4,1643,36.5,55,No Failure
1859,M16718,M,297.8,307.4,1488,36.1,57,No Failure
1860,L49039,L,297.8,307.4,1355,45.8,60,No Failure
1863,L49042,L,297.9,307.7,1517,44.4,67,No Failure
1865,L49044,L,297.9,307.7,1546,37.6,72,No Failure
1866,L49045,L,297.9,307.7,1567,34.7,74,No Failure
1867,M16726,M,298.1,307.9,1662,28.9,76,No Failure
1869,L49048,L,298.3,308.0,1361,56.9,81,No Failure
1871,L49050,L,298.3,308.0,1486,42.3,86,No Failure
1873,L49052,L,298.3,308.1,1326,58.4,90,No Failure
1874,L49053,L,298.4,308.1,1367,57.8,92,No Failure
1875,L49054,L,298.4,308.1,1598,32.7,94,No Failure
1877,L49056,L,298.3,308.0,1242,62.0,98,No Failure
1878,M16737,M,298.2,307.8,1566,33.8,100,No Failure
1880,M16739,M,298.2,307.7,1608,33.8,106,No Failure
1881,L49060,L,298.1,307.7,1705,29.1,109,No Failure
1883,M16742,M,298.0,307.6,1581,43.4,113,No Failure
1885,M16744,M,298.0,307.6,1792,26.0,119,No Failure
1886,L49065,L,298.0,307.6,1683,32.8,122,No Failure
1887,L49066,L,297.9,307.6,1503,40.7,124,No Failure
1888,M16747,M,297.9,307.5,1642,32.4,126,No Failure
1889,M16748,M,297.8,307.4,1902,24.3,129,No Failure
1891,L49070,L,297.8,307.4,1512,40.8,137,No Failure
1892,L49071,L,297.7,307.4,1764,29.0,139,No Failure
1893,M16752,M,297.8,307.4,1438,43.6,141,No Failure
1894,L49073,L,297.8,307.5,1631,29.9,144,No Failure
1895,H31308,H,297.9,307.5,1880,23.3,146,No Failure
1896,L49075,L,297.9,307.6,1344,54.3,151,No Failure
1898,L49077,L,297.8,307.4,1418,41.2,155,No Failure
1899,L49078,L,297.8,307.5,1372,54.1,157,No Failure
1900,L49079,L,297.8,307.5,1388,40.0,159,No Failure
1901,H31314,H,297.9,307.6,1493,36.0,161,No Failure
1902,M16761,M,297.9,307.6,1505,40.1,166,No Failure
1903,L49082,L,298.0,307.6,1694,29.1,169,No Failure
1904,L49083,L,297.9,307.6,1968,20.4,171,No Failure
1905,M16764,M,298.0,307.6,1569,35.6,173,No Failure
1906,L49085,L,297.9,307.6,1687,29.1,176,No Failure
1907,L49086,L,297.9,307.6,1430,52.4,178,No Failure
1911,H31324,H,298.0,307.7,1547,36.8,186,No Failure
1913,M16772,M,298.0,307.7,1621,34.9,194,No Failure
1914,M16773,M,298.0,307.8,1492,40.2,197,No Failure
1916,L49095,L,298.0,307.7,1492,38.7,202,No Failure
1917,L49096,L,298.0,307.7,1387,50.8,204,No Failure
1918,M16777,M,298.1,307.9,1463,47.3,206,No Failure
1921,L49100,L,298.1,307.9,2161,17.5,5,No Failure
1922,L49101,L,298.1,307.9,1665,32.0,7,No Failure
1923,L49102,L,298.0,307.8,1716,26.6,9,No Failure
1924,L49103,L,298.0,307.7,1529,34.1,11,No Failure
1925,L49104,L,297.9,307.7,1353,50.7,13,No Failure
1926,L49105,L,297.9,307.7,1537,37.7,15,No Failure
1927,L49106,L,298.0,307.7,1606,30.8,17,No Failure
1929,L49108,L,298.0,307.8,1623,29.9,24,No Failure
1931,M16790,M,298.1,307.9,1569,37.0,29,No Failure
1932,M16791,M,298.2,308.0,1969,21.7,32,No Failure
1933,M16792,M,298.1,308.0,1686,29.3,35,No Failure
1934,L49113,L,298.1,308.0,1638,35.1,38,No Failure
1935,L49114,L,298.1,307.9,1698,33.3,40,No Failure
1936,M16795,M,298.1,307.9,1377,55.1,42,No Failure
1937,M16796,M,298.1,308.0,2129,18.4,45,No Failure
1938,L49117,L,298.2,308.0,1411,42.4,48,No Failure
1939,L49118,L,298.1,307.9,1517,40.8,50,No Failure
1940,M16799,M,298.1,307.9,1303,53.9,52,No Failure
1941,L49120,L,298.1,307.9,1578,35.6,55,No Failure
1942,L49121,L,298.1,307.9,1425,58.2,57,No Failure
1943,L49122,L,298.1,308.0,1456,42.4,59,No Failure
1944,L49123,L,298.1,308.0,1704,30.9,61,No Failure
1946,L49125,L,298.1,308.1,1616,32.8,65,No Failure
1947,L49126,L,298.2,308.1,1622,34.9,67,No Failure
1950,M16809,M,298.1,308.0,1543,41.9,73,No Failure
1952,L49131,L,298.0,307.8,1839,22.7,79,No Failure
1954,L49133,L,297.9,307.7,1593,34.9,83,No Failure
1955,L49134,L,297.9,307.8,1459,46.9,85,No Failure
1956,L49135,L,297.9,307.7,1308,55.2,87,No Failure
1958,H31371,H,297.9,307.7,1618,35.9,92,No Failure
1959,H31372,H,297.9,307.7,1464,43.2,97,No Failure
1960,M16819,M,297.8,307.6,1352,49.4,102,No Failure
1961,L49140,L,297.8,307.6,1446,51.4,105,No Failure
1962,L49141,L,297.8,307.5,1448,51.2,107,No Failure
1965,M16824,M,297.8,307.5,1405,46.9,113,No Failure
1966,L49145,L,297.8,307.5,1581,33.1,116,No Failure
1967,L49146,L,297.9,307.6,1515,40.5,118,No Failure
1968,L49147,L,297.9,307.6,1589,37.8,120,No Failure
1969,L49148,L,298.0,307.6,1281,50.8,122,No Failure
1970,H31383,H,297.8,307.5,1631,31.3,124,No Failure
1971,M16830,M,297.9,307.6,1202,67.0,129,No Failure
1972,L49151,L,297.9,307.6,1298,52.7,132,No Failure
1973,L49152,L,297.9,307.6,1612,30.7,134,No Failure
1974,L49153,L,297.9,307.6,1747,25.3,136,No Failure
1976,L49155,L,298.0,307.7,1422,45.6,140,No Failure
1977,M16836,M,298.1,307.7,1419,47.4,142,No Failure
1981,M16840,M,298.0,307.6,1301,58.5,155,No Failure
1982,L49161,L,298.0,307.6,1385,45.0,158,No Failure
1985,M16844,M,298.0,307.5,1387,45.5,166,No Failure
1987,L49166,L,298.1,307.6,1498,42.9,171,No Failure
1988,M16847,M,298.2,307.8,1599,31.2,173,No Failure
1990,L49169,L,298.2,307.9,1785,23.4,181,No Failure
1991,L49170,L,298.2,307.8,1423,48.1,183,No Failure
1992,M16851,M,298.2,307.8,1583,36.6,185,No Failure
1993,L49172,L,298.2,307.8,1375,46.6,188,No Failure
1994,M16853,M,298.3,308.0,1463,42.5,190,No Failure
1996,L49175,L,298.3,308.0,1451,47.1,196,No Failure
1998,L49177,L,298.3,308.1,1672,41.3,0,No Failure
2000,L49179,L,298.4,308.0,1540,37.8,7,No Failure
2002,L49181,L,298.4,308.2,1604,34.9,11,No Failure
2005,L49184,L,298.5,308.2,1451,47.5,18,No Failure
2006,L49185,L,298.5,308.3,1504,38.0,20,No Failure
2007,M16866,M,298.5,308.3,1381,50.5,22,No Failure
2011,L49190,L,298.6,308.3,1278,60.5,32,No Failure
2012,L49191,L,298.7,308.5,1616,30.2,34,No Failure
2013,L49192,L,298.6,308.4,1397,46.4,36,No Failure
2015,L49194,L,298.6,308.4,1310,59.7,40,No Failure
2016,L49195,L,298.5,308.2,1301,66.3,42,Power Failure
2017,L49196,L,298.5,308.3,1458,44.0,44,No Failure
2018,L49197,L,298.7,308.5,1483,42.5,46,No Failure
2020,M16879,M,298.7,308.5,1660,27.0,50,No Failure
2022,L49201,L,298.7,308.5,1480,42.2,58,No Failure
2023,L49202,L,298.7,308.4,1373,46.9,60,No Failure
2024,L49203,L,298.7,308.5,1444,54.2,62,No Failure
2025,M16884,M,298.7,308.6,1722,24.7,64,No Failure
2027,M16886,M,298.7,308.5,1360,52.9,69,No Failure
2028,L49207,L,298.7,308.4,1750,25.8,72,No Failure
2029,M16888,M,298.7,308.3,1349,46.6,74,No Failure
2030,L49209,L,298.7,308.5,1668,35.2,77,No Failure
2032,L49211,L,298.8,308.6,1331,62.8,81,No Failure
2033,L49212,L,298.8,308.5,1444,42.2,83,No Failure
2035,M16894,M,298.8,308.5,1425,47.4,90,No Failure
2036,M16895,M,298.9,308.6,1469,34.2,93,No Failure
2037,L49216,L,299.0,308.7,1892,22.8,96,No Failure
2038,H31451,H,299.0,308.7,1940,19.9,98,No Failure
2041,L49220,L,299.1,308.9,1686,29.6,108,No Failure
2042,L49221,L,299.1,308.9,1680,27.2,110,No Failure
2043,M16902,M,299.1,308.9,1397,52.4,112,No Failure
2045,L49224,L,299.3,309.1,1470,41.1,118,No Failure
2046,M16905,M,299.3,309.1,1703,31.3,120,No Failure
2050,M16909,M,299.3,309.2,1586,37.9,129,No Failure
2052,M16911,M,299.4,309.2,1470,44.4,135,No Failure
2053,L49232,L,299.5,309.3,1477,40.4,138,No Failure
2054,L49233,L,299.5,309.3,1382,61.0,140,No Failure
2057,L49236,L,299.5,309.3,1333,54.1,147,No Failure
2058,L49237,L,299.5,309.3,1520,42.3,149,No Failure
2059,M16918,M,299.5,309.3,1902,24.0,151,No Failure
2060,H31473,H,299.5,309.4,1386,44.4,154,No Failure
2062,L49241,L,299.7,309.6,1359,50.7,161,No Failure
2063,M16922,M,299.7,309.6,1477,42.7,163,No Failure
2065,L49244,L,299.6,309.5,1453,41.4,168,No Failure
2067,L49246,L,299.7,309.6,1512,36.2,172,No Failure
2068,L49247,L,299.7,309.6,1553,36.8,174,No Failure
2070,H31483,H,299.7,309.6,1553,41.0,179,No Failure
2073,L49252,L,299.6,309.5,1570,35.5,189,Random Failures
2074,L49253,L,299.6,309.4,1677,31.1,191,No Failure
2075,L49254,L,299.5,309.4,1602,31.5,193,No Failure
2077,L49256,L,299.4,309.3,1544,36.0,197,No Failure
2078,L49257,L,299.4,309.4,1701,31.2,199,No Failure
2079,M16938,M,299.4,309.3,1692,28.4,201,No Failure
2080,M16939,M,299.3,309.3,1523,37.9,204,No Failure
2082,M16941,M,299.4,309.3,1485,47.1,209,No Failure
2083,H31496,H,299.4,309.2,1513,36.1,212,No Failure
2084,H31497,H,299.4,309.3,1743,28.2,0,No Failure
2085,L49264,L,299.5,309.3,1442,46.2,5,No Failure
2086,L49265,L,299.5,309.3,1462,46.7,7,No Failure
2087,H31500,H,299.4,309.3,1439,49.7,9,No Failure
2088,L49267,L,299.5,309.3,1577,36.6,14,No Failure
2089,L49268,L,299.6,309.4,1331,46.4,16,No Failure
2091,L49270,L,299.5,309.2,1393,47.3,20,No Failure
2092,L49271,L,299.4,309.2,1433,42.1,22,No Failure
2093,L49272,L,299.4,309.2,1444,48.2,24,No Failure
2094,L49273,L,299.4,309.2,1564,39.0,26,No Failure
2095,L49274,L,299.4,309.3,1377,43.6,28,No Failure
2098,M16957,M,299.4,309.4,1326,47.5,35,No Failure
2099,L49278,L,299.4,309.3,1401,59.0,38,No Failure
2100,L49279,L,299.4,309.3,1596,31.8,40,No Failure
2106,L49285,L,299.3,309.1,1495,44.0,55,No Failure
2107,L49286,L,299.4,309.1,1645,28.6,57,No Failure
2108,M16967,M,299.4,309.1,1417,47.3,59,No Failure
2109,H31522,H,299.4,309.0,1415,51.7,62,No Failure
2112,L49291,L,299.4,309.0,1436,47.9,75,No Failure
2113,L49292,L,299.5,309.1,1852,22.6,77,No Failure
2114,L49293,L,299.5,309.1,1863,22.5,79,No Failure
2115,H31528,H,299.4,309.1,1373,44.1,81,No Failure
2116,L49295,L,299.4,309.0,1404,47.3,86,No Failure
2117,M16976,M,299.4,309.0,1381,44.9,88,No Failure
2118,H31531,H,299.4,308.9,1762,29.3,91,No Failure
2119,H31532,H,299.3,308.9,1429,43.0,96,No Failure
2122,M16981,M,299.2,308.8,1503,37.4,109,No Failure
2123,M16982,M,299.2,308.8,1523,38.9,112,No Failure
2124,L49303,L,299.3,309.0,1491,38.4,115,No Failure
2126,L49305,L,299.3,308.9,1258,69.4,119,Power Failure
2127,L49306,L,299.3,309.0,1449,46.5,121,No Failure
2128,H31541,H,299.3,309.0,1425,40.6,123,No Failure
2130,H31543,H,299.4,309.0,1607,33.7,130,No Failure
2132,L49311,L,299.4,309.1,1432,45.4,137,No Failure
2133,L49312,L,299.4,309.0,1660,28.4,139,No Failure
2134,H31547,H,299.3,309.0,1732,29.7,141,No Failure
2135,L49314,L,299.3,309.0,1473,46.3,146,No Failure
2136,L49315,L,299.3,309.0,1511,47.8,148,No Failure
2137,L49316,L,299.2,308.9,1588,41.5,150,No Failure
2138,L49317,L,299.3,308.9,1623,31.1,152,No Failure
2140,L49319,L,299.3,309.0,1415,47.6,156,No Failure
2145,L49324,L,299.4,308.9,1451,40.5,168,No Failure
2147,L49326,L,299.3,308.8,1647,32.9,172,No Failure
2148,L49327,L,299.4,308.9,1550,33.7,174,No Failure
2150,L49329,L,299.4,309.0,1613,32.2,178,No Failure
2151,H31564,H,299.3,308.8,1636,35.5,180,No Failure
2152,M17011,M,299.3,308.7,1289,51.5,185,No Failure
2154,H31567,H,299.3,308.8,1397,45.4,191,No Failure
2158,M17017,M,299.4,309.0,1939,19.8,204,No Failure
2161,L49340,L,299.4,309.0,1507,41.0,213,No Failure
2162,L49341,L,299.4,309.1,1464,40.5,215,No Failure
2163,L49342,L,299.5,309.1,1336,42.1,217,No Failure
2165,L49344,L,299.6,309.2,1540,36.7,221,No Failure
2167,M17026,M,299.6,309.2,1867,23.4,225,Tool Wear Failure
2168,H31581,H,299.6,309.1,1588,41.3,0,No Failure
2169,M17028,M,299.5,309.1,1420,49.5,5,No Failure
2170,L49349,L,299.5,309.1,1415,49.2,8,No Failure
2172,L49351,L,299.5,309.1,1502,44.6,13,No Failure
2175,L49354,L,299.6,309.2,1572,33.4,20,No Failure
2176,M17035,M,299.5,309.2,1590,35.9,22,No Failure
2177,M17036,M,299.6,309.3,1387,48.3,25,No Failure
2178,M17037,M,299.6,309.2,1393,47.7,28,No Failure
2180,L49359,L,299.6,309.2,1601,33.3,33,No Failure
2182,H31595,H,299.5,309.1,1548,44.3,40,No Failure
2183,M17042,M,299.5,309.2,1314,61.8,45,No Failure
2185,L49364,L,299.8,309.4,1475,43.4,51,No Failure
2186,L49365,L,299.8,309.4,1630,32.4,53,No Failure
2187,L49366,L,299.7,309.4,1445,42.9,55,No Failure
2188,M17047,M,299.8,309.4,1439,47.4,57,No Failure
2190,H31603,H,299.7,309.2,1554,41.6,62,No Failure
2192,L49371,L,299.6,309.0,1648,33.6,70,No Failure
2193,L49372,L,299.6,309.0,1472,48.8,72,No Failure
2194,M17053,M,299.5,308.9,1448,42.9,74,No Failure
2195,M17054,M,299.6,308.9,1568,35.3,77,No Failure
2196,L49375,L,299.6,308.9,1613,30.8,80,No Failure
2199,M17058,M,299.7,308.9,1478,41.0,87,No Failure
2201,L49380,L,299.8,309.1,1546,35.6,93,No Failure
2202,L49381,L,299.8,309.0,1567,36.1,95,No Failure
2203,M17062,M,299.9,309.2,1548,35.7,97,No Failure
2206,L49385,L,299.9,309.2,1624,34.6,105,No Failure
2211,L49390,L,299.7,309.2,1401,54.1,118,No Failure
2214,L49393,L,299.7,309.1,1473,39.4,125,No Failure
2216,H31629,H,299.7,309.2,1468,49.6,132,No Failure
2217,L49396,L,299.7,309.2,1645,30.8,137,No Failure
2218,L49397,L,299.7,309.1,1347,55.3,139,No Failure
2221,M17080,M,299.6,309.0,1736,26.1,146,No Failure
2223,L49402,L,299.7,309.0,1605,33.0,151,No Failure
2224,L49403,L,299.6,309.0,1413,48.5,153,No Failure
2227,M17086,M,299.6,308.9,1685,27.8,161,No Failure
2229,H31642,H,299.4,308.6,1542,41.8,166,No Failure
2230,L49409,L,299.4,308.7,1681,30.8,171,No Failure
2231,L49410,L,299.5,308.7,1446,45.7,173,No Failure
2232,L49411,L,299.4,308.6,1415,56.4,175,No Failure
2234,L49413,L,299.5,308.7,2549,13.0,179,Power Failure
2235,L49414,L,299.4,308.6,1492,40.5,181,No Failure
2236,M17095,M,299.4,308.6,1455,42.7,183,No Failure
2237,M17096,M,299.3,308.5,1422,43.1,186,No Failure
2238,L49417,L,299.3,308.6,1403,50.6,189,No Failure
2239,L49418,L,299.3,308.6,1474,49.6,191,No Failure
2242,L49421,L,299.2,308.4,1711,28.9,197,No Failure
2243,L49422,L,299.2,308.4,1667,29.0,199,No Failure
2244,L49423,L,299.2,308.4,1465,35.0,201,No Failure
2245,M17104,M,299.3,308.4,1542,37.5,203,Tool Wear Failure
2247,L49426,L,299.3,308.4,1406,47.4,3,No Failure
2248,M17107,M,299.2,308.4,1396,48.5,5,No Failure
2249,M17108,M,299.3,308.5,1304,60.6,8,No Failure
2250,L49429,L,299.2,308.5,1442,46.5,11,No Failure
2251,M17110,M,299.2,308.4,1396,48.7,13,No Failure
2252,H31665,H,299.1,308.3,1424,43.4,16,No Failure
2253,H31666,H,299.1,308.3,1451,42.8,21,No Failure
2255,L49434,L,299.1,308.3,1325,46.9,28,No Failure
2256,L49435,L,299.1,308.3,1559,33.7,30,No Failure
2257,L49436,L,299.1,308.3,1489,38.1,32,No Failure
2259,L49438,L,299.1,308.2,1319,60.3,36,No Failure
2260,L49439,L,299.1,308.3,1431,52.3,38,No Failure
2261,H31674,H,299.1,308.3,1521,36.5,40,No Failure
2262,M17121,M,299.1,308.2,1435,45.2,45,No Failure
2264,M17123,M,299.2,308.4,1529,43.0,50,No Failure
2267,L49446,L,299.2,308.5,1381,60.6,59,No Failure
2268,L49447,L,299.2,308.5,1370,52.4,61,No Failure
2269,L49448,L,299.2,308.5,1438,46.6,63,No Failure
2270,L49449,L,299.3,308.6,1314,48.2,65,No Failure
2272,L49451,L,299.2,308.5,1821,26.1,69,No Failure
2274,L49453,L,299.3,308.5,1589,32.7,74,No Failure
2275,L49454,L,299.3,308.6,1520,33.7,76,No Failure
2278,H31691,H,299.3,308.7,1408,44.4,82,No Failure
2279,M17138,M,299.3,308.7,1459,35.6,87,No Failure
2280,L49459,L,299.4,308.7,1525,39.0,90,No Failure
2281,L49460,L,299.4,308.8,1390,57.0,92,No Failure
2282,L49461,L,299.3,308.7,1536,38.9,94,No Failure
2283,L49462,L,299.4,308.7,1459,47.6,96,No Failure
2286,L49465,L,299.4,308.7,1381,56.7,102,No Failure
2287,M17146,M,299.4,308.7,1289,60.5,104,No Failure
2289,M17148,M,299.4,308.6,1541,39.1,109,No Failure
2291,M17150,M,299.5,308.7,1321,51.9,114,No Failure
2292,M17151,M,299.5,308.8,1886,20.9,117,No Failure
2293,L49472,L,299.6,308.9,1422,53.2,120,No Failure
2298,L49477,L,299.3,308.7,1802,26.0,130,No Failure
2299,L49478,L,299.3,308.6,1482,37.6,132,No Failure
2300,L49479,L,299.4,308.7,1446,62.9,134,Power Failure
2301,L49480,L,299.3,308.6,1371,50.5,136,No Failure
2302,M17161,M,299.2,308.6,1586,35.7,138,No Failure
2303,L49482,L,299.2,308.5,1515,39.8,141,No Failure
2304,L49483,L,299.2,308.5,1374,53.6,143,No Failure
2307,L49486,L,299.1,308.6,1260,57.8,152,No Failure
2309,L49488,L,299.1,308.5,1371,55.5,159,No Failure
2310,L49489,L,299.1,308.6,1611,31.4,161,No Failure
2311,M17170,M,299.0,308.4,1535,47.5,163,No Failure
2312,M17171,M,299.1,308.6,1491,38.5,166,No Failure
2313,M17172,M,299.1,308.6,1441,36.2,169,No Failure
2314,M17173,M,299.1,308.8,1725,26.6,172,No Failure
2315,L49494,L,299.2,308.9,1368,47.2,175,No Failure
2316,L49495,L,299.2,308.9,1526,37.9,177,No Failure
2319,L49498,L,299.2,308.8,1405,51.4,183,No Failure
2320,M17179,M,299.2,308.8,1700,33.5,185,No Failure
2321,H31734,H,299.2,308.8,1440,39.1,188,No Failure
2324,M17183,M,299.2,308.7,1401,47.0,198,No Failure
2326,L49505,L,299.3,308.8,1603,33.9,203,No Failure
2332,L49511,L,299.3,308.6,1384,53.6,218,Overstrain Failure
2333,L49512,L,299.2,308.5,1378,50.4,220,Overstrain Failure
2334,L49513,L,299.2,308.5,1445,45.2,222,No Failure
2335,L49514,L,299.2,308.4,1445,43.5,224,No Failure
2337,L49516,L,299.2,308.4,1434,46.8,2,No Failure
2338,L49517,L,299.2,308.4,1877,23.9,4,No Failure
2339,L49518,L,299.3,308.3,1651,28.0,6,No Failure
2345,M17204,M,299.2,308.3,1755,26.4,19,No Failure
2347,L49526,L,299.2,308.4,1402,47.7,24,No Failure
2348,L49527,L,299.2,308.3,1410,43.0,26,No Failure
2349,L49528,L,299.2,308.4,1436,41.8,28,No Failure
2350,M17209,M,299.3,308.5,1386,42.2,30,No Failure
2352,L49531,L,299.2,308.4,1393,48.4,35,No Failure
2353,M17212,M,299.3,308.5,1422,45.4,37,No Failure
2354,L49533,L,299.2,308.4,1841,22.8,40,No Failure
2355,L49534,L,299.3,308.6,1433,37.7,42,No Failure
2356,M17215,M,299.3,308.5,1305,60.6,44,No Failure
2357,H31770,H,299.3,308.6,1498,39.5,47,No Failure
2359,M17218,M,299.2,308.4,1381,42.5,54,No Failure
2360,L49539,L,299.3,308.5,1413,38.5,57,No Failure
2362,M17221,M,299.2,308.6,1631,35.4,64,No Failure
2363,H31776,H,299.3,308.6,1520,41.4,67,No Failure
2364,L49543,L,299.3,308.5,1510,45.4,72,No Failure
2365,L49544,L,299.2,308.5,1366,49.7,74,No Failure
2366,L49545,L,299.4,308.5,1845,22.9,76,No Failure
2367,L49546,L,299.3,308.5,1485,44.7,78,No Failure
2369,M17228,M,299.3,308.4,1468,42.2,83,No Failure
2370,M17229,M,299.2,308.4,1856,22.7,86,No Failure
2371,L49550,L,299.2,308.4,1620,34.1,89,No Failure
2372,L49551,L,299.3,308.5,1409,44.8,91,No Failure
2373,M17232,M,299.3,308.5,1404,49.4,93,No Failure
2374,L49553,L,299.2,308.4,1350,51.3,96,No Failure
2375,M17234,M,299.2,308.4,1538,38.0,98,No Failure
2376,M17235,M,299.2,308.4,1476,32.7,101,No Failure
2377,M17236,M,299.2,308.3,1364,51.8,104,No Failure
2378,M17237,M,299.2,308.3,1582,45.5,107,No Failure
2379,L49558,L,299.1,308.2,1348,56.1,110,No Failure
2380,H31793,H,299.1,308.2,1450,46.1,112,No Failure
2385,M17244,M,299.1,308.3,1506,38.0,125,No Failure
2388,M17247,M,299.2,308.5,1474,47.2,132,No Failure
2389,M17248,M,299.2,308.5,1526,37.3,135,No Failure
2390,L49569,L,299.2,308.5,1867,27.0,138,No Failure
2392,L49571,L,299.2,308.4,1580,32.6,142,No Failure
2393,L49572,L,299.2,308.5,1340,50.0,144,No Failure
2394,L49573,L,299.2,308.5,1544,41.6,146,No Failure
2396,M17255,M,299.2,308.5,1742,28.9,150,No Failure
2397,M17256,M,299.1,308.5,1592,34.2,153,No Failure
2398,L49577,L,299.2,308.6,1582,38.8,156,No Failure
2399,L49578,L,299.2,308.5,1490,43.2,158,No Failure
2400,M17259,M,299.2,308.5,1594,35.8,160,No Failure
2401,H31814,H,299.2,308.6,1462,55.0,163,No Failure
2402,M17261,M,299.2,308.6,1367,47.6,168,No Failure
2404,H31817,H,299.2,308.7,1448,51.4,173,No Failure
2406,L49585,L,299.1,308.7,1498,38.9,181,No Failure
2407,L49586,L,299.1,308.6,1437,41.6,183,No Failure
2408,M17267,M,299.1,308.6,1499,45.1,185,No Failure
2411,L49590,L,299.1,308.5,1689,32.1,192,No Failure
2412,L49591,L,299.0,308.5,1559,38.1,194,No Failure
2414,L49593,L,299.0,308.5,1886,23.0,198,No Failure
2415,L49594,L,299.1,308.5,1415,43.4,0,No Failure
2416,M17275,M,299.1,308.5,1587,35.6,2,No Failure
2417,L49596,L,299.0,308.4,1571,38.6,5,No Failure
2419,L49598,L,298.9,308.3,1660,34.4,9,No Failure
2421,H31834,H,298.8,308.2,1450,44.7,14,No Failure
2422,L49601,L,298.9,308.2,2384,15.0,19,No Failure
2424,M17283,M,298.9,308.2,2022,20.0,23,No Failure
2425,L49604,L,298.9,308.2,1828,23.8,26,No Failure
2428,L49607,L,298.9,308.3,1855,23.8,33,No Failure
2429,M17288,M,299.0,308.3,1377,47.2,35,No Failure
2430,L49609,L,298.9,308.3,1432,48.9,38,No Failure
2431,M17290,M,298.9,308.2,1335,47.8,40,No Failure
2434,L49613,L,299.0,308.3,1441,44.0,48,No Failure
2435,M17294,M,299.0,308.2,1358,42.7,50,No Failure
2436,L49615,L,298.9,308.2,1686,30.4,53,No Failure
2438,L49617,L,299.1,308.3,1426,40.1,60,No Failure
2439,M17298,M,299.1,308.4,1330,53.6,62,No Failure
2440,L49619,L,299.1,308.4,1693,31.6,65,No Failure
2441,L49620,L,299.1,308.4,1426,47.9,67,No Failure
2442,L49621,L,299.1,308.5,1676,31.0,69,No Failure
2443,M17302,M,299.1,308.4,1332,51.7,71,No Failure
2445,L49624,L,299.2,308.6,1267,68.2,76,Power Failure
2447,L49626,L,299.3,308.6,1422,48.9,83,No Failure
2448,L49627,L,299.3,308.7,1408,48.7,85,No Failure
2451,L49630,L,299.2,308.7,1492,37.8,91,No Failure
2452,L49631,L,299.2,308.7,1650,30.5,93,No Failure
2454,L49633,L,299.0,308.6,1648,30.8,98,No Failure
2455,L49634,L,299.0,308.6,1653,31.7,100,No Failure
2458,L49637,L,299.0,308.6,1661,32.2,106,No Failure
2459,L49638,L,299.0,308.6,1434,45.9,108,No Failure
2462,M17321,M,298.9,308.6,1517,39.8,114,No Failure
2464,L49643,L,298.9,308.5,1580,39.1,119,No Failure
2466,L49645,L,298.9,308.6,1481,40.7,124,No Failure
2467,L49646,L,299.0,308.6,1429,37.7,126,No Failure
2468,M17327,M,298.9,308.6,1574,33.5,128,No Failure
2470,L49649,L,299.0,308.7,1507,37.5,134,No Failure
