type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,failure_type
L,299.3,309.1,1634,36.8,62,No Failure
L,299.3,309.0,1516,38.7,64,No Failure
L,299.4,309.1,1207,66.5,66,No Failure
M,299.4,309.1,1461,48.6,70,No Failure
L,299.4,309.2,1569,40.8,73,No Failure
L,299.4,309.2,1556,35.7,75,No Failure
M,299.5,309.3,1506,41.5,77,No Failure
M,299.6,309.4,1642,30.3,80,No Failure
M,299.6,309.4,1283,62.1,83,No Failure
H,299.7,309.5,1375,46.8,86,No Failure
L,299.7,309.4,1399,39.9,91,No Failure
L,299.7,309.4,1650,29.8,93,No Failure
M,299.8,309.6,1346,53.2,95,No Failure
H,299.9,309.6,1410,51.2,98,No Failure
M,300.0,309.7,1652,28.6,112,No Failure
L,300.1,309.8,1532,39.8,115,No Failure
L,300.0,309.7,1554,32.0,117,No Failure
L,299.9,309.6,1254,61.3,124,No Failure
L,299.9,309.6,1294,49.7,126,No Failure
M,299.8,309.4,1412,47.8,130,No Failure
H,299.8,309.5,1420,46.7,136,No Failure
L,299.8,309.5,1542,40.3,141,No Failure
M,299.8,309.4,1401,48.1,143,No Failure
H,299.9,309.5,1547,38.5,148,No Failure
M,299.8,309.5,1453,43.2,153,No Failure
L,299.8,309.4,1436,51.6,158,No Failure
M,299.9,309.5,1582,38.2,160,No Failure
L,299.9,309.6,1280,59.3,163,No Failure
L,299.9,309.5,2008,20.4,165,No Failure
L,299.9,309.5,1567,35.5,171,No Failure
M,299.8,309.4,1751,27.0,173,No Failure
L,299.9,309.5,1349,51.3,176,No Failure
M,300.0,309.5,1425,40.8,178,No Failure
L,300.0,309.4,1395,44.5,181,No Failure
H,299.8,309.3,1595,32.1,183,No Failure
L,299.8,309.3,1291,56.4,188,No Failure
M,299.9,309.4,1509,42.8,190,No Failure
M,299.9,309.4,1487,42.2,198,No Failure
L,299.8,309.4,2256,15.9,201,No Failure
H,299.7,309.2,1691,27.7,203,No Failure
M,299.8,309.3,1640,31.1,211,No Failure
H,299.7,309.3,1494,37.8,214,No Failure
L,299.8,309.4,1467,46.2,219,No Failure
M,299.7,309.3,1399,41.9,221,Tool Wear Failure
L,299.7,309.3,1445,42.6,0,No Failure
L,299.8,309.4,1480,40.9,2,No Failure
L,299.7,309.3,1546,37.2,4,No Failure
L,299.7,309.3,1574,35.8,6,No Failure
L,299.7,309.3,1592,34.2,8,No Failure
L,299.8,309.6,1447,43.1,12,No Failure
L,299.8,309.5,1476,44.4,14,No Failure
L,299.8,309.5,1545,32.2,18,No Failure
M,299.9,309.6,1364,44.4,20,No Failure
L,299.8,309.5,1590,28.5,23,No Failure
L,299.8,309.4,1633,27.5,29,No Failure
L,299.9,309.4,1348,52.8,31,No Failure
L,300.0,309.5,1641,30.1,35,No Failure
L,300.0,309.5,1728,26.0,37,No Failure
L,300.0,309.6,1431,47.7,39,No Failure
L,300.1,309.7,1641,30.4,41,No Failure
M,300.1,309.6,1625,38.0,46,No Failure
L,300.0,309.5,1869,22.7,49,No Failure
L,300.0,309.6,1452,46.0,51,No Failure
L,300.0,309.6,1618,28.7,53,No Failure
L,300.0,309.4,2010,20.0,55,No Failure
L,299.9,309.3,1473,40.4,59,No Failure
L,299.9,309.2,1333,50.8,61,No Failure
L,299.8,309.2,1760,25.9,63,No Failure
M,299.8,309.2,1372,58.2,65,No Failure
M,299.7,309.2,1608,34.4,68,No Failure
L,299.7,309.2,1326,64.8,71,No Failure
M,299.6,309.0,1539,36.1,76,No Failure
L,299.6,309.1,1574,39.2,83,No Failure
L,299.6,309.1,1407,50.6,85,No Failure
H,299.7,309.2,1302,55.5,87,No Failure
M,299.6,309.2,1651,30.8,92,No Failure
M,299.5,309.1,1422,45.3,103,No Failure
L,299.6,309.2,1559,39.1,110,No Failure
M,299.6,309.3,1553,32.4,112,No Failure
L,299.7,309.4,1362,51.9,117,No Failure
M,299.8,309.3,1470,42.7,119,No Failure
L,299.8,309.4,1555,34.8,122,No Failure
L,299.7,309.3,1434,38.5,127,No Failure
L,299.7,309.3,1417,54.6,131,No Failure
L,299.6,309.2,1425,45.9,133,No Failure
M,299.7,309.2,1597,32.9,135,No Failure
L,299.7,309.2,1346,57.4,138,No Failure
L,299.7,309.2,1422,40.4,140,No Failure
H,299.7,309.2,1572,32.8,142,No Failure
M,299.7,309.1,1576,36.4,149,No Failure
M,299.8,309.1,1496,44.4,155,No Failure
L,299.8,309.2,1572,35.4,158,No Failure
L,299.6,309.0,1525,42.8,160,No Failure
L,299.6,309.0,1378,51.9,162,No Failure
L,299.6,309.1,1369,51.4,164,No Failure
L,299.6,309.1,1476,45.3,166,No Failure
L,299.7,309.2,1620,30.0,168,No Failure
M,299.7,309.1,1603,38.5,170,No Failure
L,299.7,309.2,1616,31.6,175,No Failure
H,299.7,309.2,1456,40.6,182,No Failure
M,299.7,309.1,1851,24.7,189,No Failure
L,299.7,309.1,1715,27.8,192,No Failure
H,299.6,309.1,1630,32.3,194,No Failure
L,299.7,309.2,1478,38.8,199,No Failure
L,299.7,309.2,1781,29.6,201,No Failure
L,299.8,309.2,1439,36.1,203,No Failure
M,299.7,309.2,1412,45.3,205,No Failure
L,299.7,309.1,1483,41.1,208,No Failure
L,299.8,309.2,1400,42.6,210,No Failure
L,299.8,309.2,1479,44.4,214,No Failure
M,299.9,309.3,1389,52.8,0,No Failure
M,299.9,309.4,1399,54.8,3,No Failure
L,300.0,309.5,1925,21.9,9,No Failure
M,300.0,309.6,1477,38.1,13,No Failure
L,299.9,309.5,1451,39.4,18,No Failure
L,299.9,309.4,1467,41.2,20,No Failure
L,299.9,309.4,1858,22.5,22,No Failure
L,300.1,309.4,1453,47.6,28,No Failure
L,300.1,309.4,1464,41.7,30,No Failure
L,300.0,309.4,1308,50.2,32,No Failure
M,300.2,309.6,1556,35.8,36,No Failure
L,300.2,309.5,2183,17.8,39,No Failure
M,300.2,309.6,1528,35.1,44,No Failure
M,300.2,309.5,1630,28.3,51,No Failure
M,300.3,309.6,1524,38.4,54,No Failure
H,300.3,309.5,1438,44.0,59,No Failure
L,300.4,309.6,1356,45.9,64,No Failure
H,300.4,309.6,1416,43.3,66,No Failure
L,300.4,309.7,1584,32.6,71,No Failure
L,300.3,309.6,1597,31.8,73,No Failure
L,300.4,309.6,1553,43.9,75,No Failure
M,300.3,309.5,1405,49.4,77,No Failure
L,300.2,309.5,1539,35.3,80,No Failure
M,300.3,309.6,1398,53.7,82,No Failure
L,300.3,309.6,1568,39.6,85,No Failure
M,300.2,309.5,1500,45.7,89,No Failure
M,300.3,309.6,1509,46.6,95,No Failure
L,300.2,309.5,1343,50.2,98,No Failure
L,300.1,309.5,1450,40.1,100,No Failure
L,300.0,309.4,1460,43.5,102,No Failure
L,300.0,309.3,1364,41.2,104,No Failure
M,299.9,309.3,1452,41.9,106,No Failure
L,299.9,309.3,1471,41.8,109,No Failure
L,299.9,309.2,1598,34.6,111,No Failure
L,299.8,309.1,1772,24.8,113,No Failure
L,299.9,309.2,1761,25.6,115,No Failure
M,300.0,309.3,1413,40.7,117,No Failure
L,300.0,309.3,1887,22.6,120,No Failure
L,300.0,309.3,1395,56.5,122,No Failure
M,300.1,309.4,1569,31.6,124,No Failure
L,300.2,309.5,1417,41.1,129,No Failure
L,300.2,309.5,1729,28.4,131,No Failure
L,300.2,309.5,1436,48.8,135,No Failure
M,300.3,309.6,1419,42.5,137,No Failure
M,300.3,309.5,1320,62.2,142,No Failure
M,300.3,309.5,1448,42.4,145,No Failure
M,300.3,309.4,1612,33.1,150,No Failure
M,300.4,309.4,1875,23.9,155,No Failure
M,300.4,309.3,1467,40.3,166,No Failure
L,300.3,309.1,1368,46.0,171,No Failure
L,300.3,309.2,1572,32.0,173,No Failure
M,300.3,309.1,1458,44.3,175,No Failure
L,300.3,309.1,1699,30.3,178,No Failure
L,300.3,309.3,1478,39.5,180,No Failure
M,300.4,309.4,1362,42.1,182,No Failure
H,300.4,309.4,1487,38.9,185,No Failure
L,300.3,309.4,1705,29.4,190,No Failure
L,300.3,309.3,1345,53.5,192,No Failure
L,300.3,309.2,1532,40.2,194,No Failure
L,300.3,309.2,1650,35.2,196,No Failure
L,300.3,309.2,1398,54.4,198,No Failure
L,300.4,309.3,1525,39.6,202,No Failure
M,300.3,309.3,1391,57.9,204,No Failure
M,300.5,309.3,1539,39.1,216,No Failure
L,300.5,309.3,1470,40.8,219,No Failure
L,300.5,309.3,1528,37.0,221,No Failure
H,300.5,309.3,1471,45.2,223,No Failure
L,300.5,309.3,1417,51.5,231,Overstrain Failure
L,300.7,309.5,1479,43.6,240,No Failure
L,300.6,309.4,1471,44.1,244,No Failure
H,300.7,309.7,1623,32.7,0,No Failure
L,300.8,309.7,1997,20.7,5,No Failure
L,300.8,309.7,1519,35.8,14,No Failure
M,300.8,309.7,1519,39.7,16,No Failure
M,300.7,309.6,1536,37.2,19,No Failure
L,300.8,309.6,1680,28.7,22,No Failure
L,300.6,309.5,1471,49.6,29,No Failure
M,300.5,309.4,1877,23.8,31,No Failure
M,300.5,309.3,1578,30.5,34,No Failure
M,300.5,309.4,1655,32.1,37,No Failure
H,300.5,309.4,1502,34.3,40,No Failure
L,300.7,309.5,1541,37.2,48,No Failure
L,300.6,309.6,1684,32.8,53,No Failure
L,300.6,309.6,1409,42.4,57,No Failure
M,300.5,309.5,1320,49.9,59,No Failure
H,300.5,309.5,1635,34.2,62,No Failure
M,300.6,309.6,1365,50.0,70,No Failure
M,300.7,309.7,1523,38.2,73,No Failure
L,300.6,309.7,1593,32.4,76,No Failure
L,300.6,309.6,1682,30.7,78,No Failure
M,300.7,309.6,1568,35.2,82,No Failure
L,300.7,309.6,1733,24.8,85,No Failure
M,300.7,309.6,1473,48.1,87,No Failure
M,300.7,309.5,1633,31.3,90,No Failure
M,300.6,309.5,1530,40.2,93,No Failure
L,300.6,309.4,1410,40.6,99,No Failure
L,300.5,309.3,1574,33.5,101,No Failure
M,300.6,309.4,1541,35.2,105,No Failure
M,300.7,309.5,1733,26.7,108,No Failure
L,300.6,309.4,2496,13.5,111,No Failure
L,300.6,309.3,1409,38.7,115,No Failure
L,300.7,309.5,1251,59.9,120,No Failure
L,300.6,309.5,1576,38.8,124,No Failure
L,300.7,309.6,1661,30.3,129,No Failure
L,300.7,309.6,1541,34.6,131,No Failure
H,300.6,309.6,1888,20.5,133,No Failure
L,300.5,309.5,1255,62.1,138,No Failure
L,300.6,309.6,1411,41.6,140,No Failure
L,300.6,309.5,1516,39.0,142,No Failure
M,300.6,309.5,1492,34.0,144,No Failure
L,300.6,309.6,1726,30.0,147,No Failure
L,300.7,309.7,1598,33.7,149,No Failure
L,300.8,309.8,1657,31.1,151,No Failure
L,300.8,309.7,1481,38.1,153,No Failure
M,300.7,309.7,1397,51.3,155,No Failure
L,300.8,309.7,1461,44.3,158,No Failure
M,300.7,309.6,1388,51.1,160,No Failure
M,300.7,309.6,1421,49.8,165,No Failure
M,300.8,309.7,1482,39.0,171,No Failure
H,300.7,309.6,1403,51.3,174,No Failure
L,300.8,309.7,1373,45.4,179,No Failure
M,300.8,309.7,1751,27.9,183,No Failure
M,300.8,309.6,1546,42.3,186,No Failure
M,300.9,309.7,1394,48.8,192,No Failure
L,300.7,309.6,1810,26.0,195,No Failure
L,300.7,309.5,1479,34.5,197,No Failure
L,300.9,309.7,1431,41.4,199,No Failure
M,300.7,309.6,1996,19.8,203,Tool Wear Failure
H,300.7,309.5,2007,19.7,2,No Failure
H,300.7,309.6,1925,20.5,9,No Failure
M,300.7,309.5,1445,46.4,24,No Failure
L,300.7,309.5,1685,31.1,27,No Failure
H,300.7,309.5,1667,30.5,29,No Failure
L,300.7,309.5,1578,35.4,34,No Failure
M,300.7,309.5,1439,43.8,41,No Failure
M,300.8,309.6,1404,38.7,44,No Failure
L,300.8,309.6,1498,45.8,47,No Failure
L,300.7,309.5,1467,44.3,55,No Failure
L,300.7,309.5,1508,39.9,59,No Failure
L,300.7,309.5,1692,30.3,64,No Failure
L,300.6,309.4,1369,51.6,71,No Failure
M,300.6,309.4,1312,45.2,73,No Failure
L,300.6,309.4,1468,44.1,76,No Failure
M,300.6,309.4,1452,39.4,78,No Failure
M,300.7,309.5,1393,43.9,81,No Failure
M,300.6,309.4,1432,44.2,84,No Failure
M,300.5,309.3,1881,25.5,98,No Failure
L,300.4,309.3,1413,50.3,101,No Failure
H,300.5,309.4,1642,36.2,103,No Failure
L,300.5,309.5,1542,38.5,108,No Failure
L,300.4,309.5,1447,39.3,110,No Failure
H,300.4,309.4,1530,40.4,112,No Failure
L,300.5,309.5,1795,27.7,117,No Failure
L,300.6,309.6,1290,57.4,119,No Failure
L,300.6,309.7,1639,30.4,121,No Failure
L,300.7,309.8,1596,31.5,123,No Failure
L,300.6,309.8,1455,48.0,125,No Failure
M,300.6,309.8,1532,42.5,130,No Failure
L,300.6,309.8,1688,28.6,135,No Failure
M,300.5,309.7,1341,50.9,137,No Failure
M,300.5,309.7,1685,29.4,140,No Failure
M,300.5,309.8,1370,55.9,143,No Failure
L,300.5,309.8,1550,37.4,148,No Failure
M,300.5,309.8,1508,37.8,150,No Failure
L,300.5,309.8,1345,62.7,153,No Failure
L,300.5,309.7,1395,61.0,157,No Failure
H,300.5,309.8,1324,72.8,159,Power Failure
M,300.5,309.8,1555,38.9,166,No Failure
M,300.6,309.9,1449,42.4,169,No Failure
L,300.5,309.9,1503,37.4,175,No Failure
L,300.4,309.7,1314,50.2,179,No Failure
M,300.4,309.7,1547,38.0,181,No Failure
M,300.4,309.7,1466,39.8,184,No Failure
L,300.3,309.6,1537,37.1,187,No Failure
M,300.2,309.5,1434,51.5,189,No Failure
L,300.4,309.6,1432,44.7,192,No Failure
L,300.5,309.6,1390,48.4,194,No Failure
L,300.5,309.7,1580,42.8,196,No Failure
L,300.5,309.7,1589,30.5,198,No Failure
L,300.5,309.8,1441,48.8,200,No Failure
M,300.5,309.8,1566,35.9,204,No Failure
L,300.4,309.6,1543,38.1,209,No Failure
L,300.5,309.8,1421,49.6,211,No Failure
L,300.4,309.5,1711,29.2,215,No Failure
L,300.5,309.6,1465,41.6,217,No Failure
M,300.4,309.5,1888,21.9,221,No Failure
L,300.5,309.5,1379,55.6,2,No Failure
L,300.4,309.5,1525,51.3,4,No Failure
M,300.4,309.6,1563,34.0,6,No Failure
M,300.5,309.7,1389,43.3,9,No Failure
H,300.6,309.7,1470,43.8,18,No Failure
M,300.6,309.7,1428,42.6,23,No Failure
L,300.4,309.6,1319,48.1,26,No Failure
L,300.5,309.7,1887,24.3,28,No Failure
L,300.4,309.5,1349,50.4,30,No Failure
L,300.3,309.5,1474,38.7,35,No Failure
L,300.4,309.5,1543,38.9,37,No Failure
M,300.2,309.4,1459,43.9,39,No Failure
L,300.2,309.4,1526,35.3,46,No Failure
L,300.2,309.2,1431,51.3,57,No Failure
L,300.2,309.3,1366,49.3,59,No Failure
L,300.1,309.2,1421,42.5,61,No Failure
H,300.2,309.3,1506,35.6,63,No Failure
H,300.2,309.3,1342,48.7,68,No Failure
L,300.1,309.2,1427,37.6,73,No Failure
L,300.2,309.2,1667,29.9,75,No Failure
M,300.0,309.0,1368,45.8,81,No Failure
L,299.9,309.0,1553,40.0,88,No Failure
M,300.1,309.1,1731,30.4,92,No Failure
L,300.1,309.2,1533,37.0,101,No Failure
H,300.0,309.0,1622,31.8,103,No Failure
L,300.0,309.1,1791,28.2,108,No Failure
L,300.0,309.1,1631,28.3,110,No Failure
L,300.1,309.0,1314,58.2,114,No Failure
L,300.1,309.1,1478,46.9,116,No Failure
L,300.1,309.2,1783,27.3,118,No Failure
M,300.1,309.2,1385,46.1,120,No Failure
M,300.1,309.4,1349,56.2,127,No Failure
M,300.0,309.3,1932,21.8,135,No Failure
M,300.0,309.3,1407,43.9,138,No Failure
H,300.1,309.4,1329,55.2,143,No Failure
L,300.1,309.2,1441,42.9,148,No Failure
L,300.0,309.2,1610,32.1,150,No Failure
M,300.0,309.1,1624,30.8,155,No Failure
H,300.1,309.3,1448,45.8,163,No Failure
M,300.0,309.3,2293,16.3,170,No Failure
L,300.0,309.3,1397,51.2,173,No Failure
M,299.9,309.2,1574,36.5,177,No Failure
L,299.9,309.2,1560,38.9,180,No Failure
M,299.9,309.2,1353,49.8,182,No Failure
M,299.9,309.2,1389,51.2,185,No Failure
M,299.9,309.1,1513,43.8,188,No Failure
L,299.8,309.1,1578,42.1,191,No Failure
L,299.9,309.1,1412,48.3,198,No Failure
L,299.8,309.1,1668,30.3,200,No Failure
M,299.8,309.2,1678,29.8,202,No Failure
L,299.8,309.1,1612,35.4,205,No Failure
M,299.8,309.1,1456,39.4,209,No Failure
L,299.9,309.2,1491,44.3,214,No Failure
L,300.0,309.2,1759,27.9,5,No Failure
M,299.8,309.1,1355,56.7,7,No Failure
M,299.9,309.1,1345,56.8,10,No Failure
M,299.9,309.2,1683,30.5,13,No Failure
L,299.9,309.2,1658,34.8,16,No Failure
M,300.1,309.3,1469,43.9,20,No Failure
M,300.2,309.5,1458,46.9,23,No Failure
H,300.1,309.4,1563,40.8,28,No Failure
L,300.1,309.4,2141,17.9,33,No Failure
H,300.0,309.4,1498,38.5,37,No Failure
L,300.1,309.4,1568,39.7,42,No Failure
L,300.1,309.4,1694,27.4,44,No Failure
L,300.0,309.5,1717,28.3,48,No Failure
L,300.1,309.6,1642,34.5,53,No Failure
L,300.1,309.6,1760,25.4,55,No Failure
L,300.1,309.5,1557,40.6,59,No Failure
L,300.2,309.6,1359,51.5,66,No Failure
L,300.4,309.9,1376,43.5,74,No Failure
H,300.4,309.9,1513,38.7,76,No Failure
H,300.4,309.9,2563,12.8,81,Power Failure
L,300.5,310.0,1521,45.1,86,No Failure
L,300.6,310.0,1658,34.7,88,No Failure
H,300.6,310.0,1419,42.4,90,No Failure
M,300.6,310.0,1478,36.3,95,No Failure
M,300.5,310.0,1415,43.5,98,No Failure
M,300.5,309.9,1780,26.5,101,No Failure
M,300.4,309.7,1440,42.8,104,No Failure
H,300.4,309.7,1500,35.2,112,No Failure
L,300.5,309.8,1428,43.8,119,No Failure
M,300.5,309.8,1473,42.3,121,No Failure
M,300.5,309.9,1483,49.3,124,No Failure
L,300.4,309.7,1534,42.5,127,No Failure
L,300.5,309.8,1367,54.0,129,No Failure
L,300.4,309.7,1467,36.9,131,No Failure
M,300.4,309.7,1488,42.2,133,No Failure
L,300.4,309.7,1679,30.1,136,No Failure
L,300.5,309.9,1480,40.0,148,No Failure
L,300.4,309.8,1549,38.9,150,No Failure
L,300.4,309.6,1536,34.5,154,No Failure
M,300.4,309.7,1539,37.7,156,No Failure
L,300.4,309.7,1384,45.1,159,No Failure
M,300.4,309.6,1614,30.3,161,No Failure
M,300.4,309.6,1675,35.5,164,No Failure
L,300.4,309.6,1386,56.9,170,No Failure
L,300.3,309.6,1624,32.6,175,No Failure
L,300.3,309.6,1600,34.6,177,No Failure
L,300.3,309.6,1468,44.7,179,No Failure
L,300.3,309.6,1435,45.4,181,No Failure
M,300.2,309.5,1564,33.4,183,No Failure
M,300.2,309.4,1329,53.6,186,No Failure
M,300.2,309.4,1433,48.8,191,No Failure
L,300.2,309.4,1527,37.0,194,No Failure
L,300.1,309.3,1616,32.0,199,No Failure
L,300.1,309.3,1654,31.0,201,No Failure
L,300.1,309.3,1685,27.1,203,No Failure
M,300.2,309.4,1456,48.8,205,No Failure
M,300.2,309.4,1752,27.8,208,No Failure
M,300.1,309.2,1438,51.0,211,No Failure
L,300.1,309.1,1551,33.7,214,No Failure
L,300.1,309.2,1599,30.1,216,No Failure
M,300.1,309.2,1732,33.7,218,No Failure
M,300.1,309.2,1418,39.8,221,No Failure
L,300.0,309.0,1454,51.7,2,No Failure
M,300.0,309.2,1635,32.4,4,No Failure
L,300.0,309.1,1489,40.3,7,No Failure
L,300.0,309.1,1465,40.6,9,No Failure
H,300.1,309.1,1560,35.4,14,No Failure
M,300.1,309.2,1454,44.4,19,No Failure
L,300.2,309.2,1430,43.4,24,No Failure
M,300.1,309.1,1533,38.0,26,No Failure
M,300.1,309.0,1612,33.0,34,No Failure
M,300.2,309.1,1406,42.2,40,No Failure
L,300.3,309.2,1587,31.4,43,No Failure
M,300.3,309.2,1364,47.6,45,No Failure
L,300.3,309.2,1462,51.4,48,No Failure
L,300.4,309.2,1752,29.0,52,No Failure
H,300.4,309.3,1396,51.2,54,No Failure
M,300.5,309.4,2179,16.3,59,No Failure
L,300.6,309.6,1426,53.6,66,No Failure
M,300.6,309.6,1503,38.4,68,No Failure
L,300.6,309.6,1423,49.1,74,No Failure
M,300.7,309.7,1435,44.7,76,No Failure
M,300.5,309.3,1589,34.9,91,No Failure
L,300.5,309.3,1475,46.8,94,No Failure
L,300.7,309.3,1425,45.3,100,No Failure
H,300.8,309.4,1474,40.7,104,No Failure
L,300.8,309.4,1946,20.5,111,No Failure
M,300.8,309.4,1342,62.4,113,Heat Dissipation Failure
M,300.9,309.5,1758,26.8,116,No Failure
M,300.9,309.4,1724,25.6,119,No Failure
L,301.0,309.5,1430,48.5,122,No Failure
H,300.9,309.5,1469,43.4,126,No Failure
L,301.0,309.6,1724,28.1,133,No Failure
M,301.0,309.6,1397,48.0,135,No Failure
M,301.0,309.6,1588,32.7,138,No Failure
L,301.0,309.7,1468,42.0,141,No Failure
M,301.0,309.7,1511,39.3,146,No Failure
L,301.1,309.8,1493,38.9,149,No Failure
L,301.1,309.6,1501,36.1,156,No Failure
L,301.1,309.7,1668,30.8,158,No Failure
L,301.1,309.6,1502,48.9,160,No Failure
M,301.0,309.7,1288,58.4,162,No Failure
L,301.0,309.7,1491,42.9,165,No Failure
L,301.2,309.9,1643,32.9,171,No Failure
M,301.2,310.0,1625,31.6,173,No Failure
M,301.3,310.0,2068,17.8,176,No Failure
H,301.3,310.1,1469,39.7,179,No Failure
L,301.3,310.0,1344,54.8,186,No Failure
L,301.3,310.1,1355,53.6,193,No Failure
L,301.3,310.1,1269,56.8,195,Overstrain Failure
M,301.3,310.1,1525,37.8,199,No Failure
M,301.3,310.0,1696,32.4,202,No Failure
L,301.4,310.1,1937,21.8,205,No Failure
M,301.4,310.0,1689,32.1,207,No Failure
M,301.3,310.0,1593,30.8,210,No Failure
M,301.3,309.9,1565,36.0,213,No Failure
L,301.3,310.0,1665,31.4,0,No Failure
H,301.3,310.0,1532,36.3,2,No Failure
L,301.3,310.0,1438,40.9,7,No Failure
L,301.3,310.1,1531,41.6,9,No Failure
L,301.3,310.0,1506,40.8,11,No Failure
L,301.2,309.9,1382,52.4,13,No Failure
M,301.2,309.9,1456,50.8,15,No Failure
M,301.2,310.0,1445,45.6,18,No Failure
L,301.2,309.9,1449,45.5,23,No Failure
H,301.2,309.9,1362,50.7,25,No Failure
L,301.2,309.9,1687,29.7,30,No Failure
L,301.3,310.1,1662,31.0,37,No Failure
L,301.2,310.2,1385,42.3,42,No Failure
M,301.2,310.1,1479,45.5,44,No Failure
L,301.3,310.3,1400,44.3,47,No Failure
M,301.2,310.3,1357,54.5,49,No Failure
L,301.1,310.2,1657,34.1,52,No Failure
L,301.1,310.2,1496,43.4,54,No Failure
L,301.2,310.3,1548,38.6,59,No Failure
L,301.2,310.3,1499,38.1,61,No Failure
L,301.3,310.5,1365,47.7,70,No Failure
L,301.3,310.5,1503,48.6,72,No Failure
L,301.2,310.4,1390,49.9,74,No Failure
L,301.2,310.3,1497,45.7,76,No Failure
M,301.3,310.4,1577,48.3,78,No Failure
M,301.4,310.5,1563,39.9,83,No Failure
L,301.4,310.4,1433,43.4,86,No Failure
L,301.3,310.4,1384,50.1,88,No Failure
L,301.3,310.4,1346,46.7,90,No Failure
L,301.3,310.4,1459,44.7,92,No Failure
L,301.4,310.4,1737,31.9,96,No Failure
L,301.4,310.5,1489,43.5,98,No Failure
M,301.5,310.6,1492,43.0,100,No Failure
M,301.4,310.5,1217,60.6,103,No Failure
L,301.5,310.5,1636,28.7,106,No Failure
L,301.4,310.4,1436,49.7,108,No Failure
L,301.4,310.4,1689,30.6,110,No Failure
L,301.5,310.6,1522,41.0,114,No Failure
L,301.5,310.5,1351,52.9,116,No Failure
L,301.5,310.5,1589,36.7,118,No Failure
L,301.5,310.6,1587,33.7,122,No Failure
L,301.5,310.6,1962,20.2,124,No Failure
L,301.6,310.6,1418,43.9,129,No Failure
L,301.6,310.7,1683,29.7,131,No Failure
L,301.7,310.8,1385,50.7,133,No Failure
L,301.7,310.8,1559,44.5,135,No Failure
M,301.7,310.8,1671,31.6,137,No Failure
M,301.6,310.8,1343,49.5,140,No Failure
M,301.6,310.8,1548,34.2,143,No Failure
L,301.7,310.9,1705,31.2,146,No Failure
L,301.6,310.8,1564,34.1,150,No Failure
M,301.6,310.9,1510,40.9,152,No Failure
L,301.6,310.9,1492,45.2,155,No Failure
M,301.5,310.8,1452,44.1,157,No Failure
M,301.5,310.8,1628,36.4,167,No Failure
L,301.4,310.7,1706,27.9,170,No Failure
L,301.4,310.8,1680,31.4,185,No Failure
L,301.4,310.8,1610,34.6,187,No Failure
L,301.6,310.9,1632,31.6,189,No Failure
H,301.6,310.7,1414,51.7,197,No Failure
L,301.5,310.6,1525,41.9,204,No Failure
L,301.5,310.6,1394,46.5,206,No Failure
L,301.5,310.6,1519,40.7,208,No Failure
L,301.4,310.6,1445,43.9,210,No Failure
L,301.4,310.6,1555,43.3,212,No Failure
L,301.4,310.5,1633,39.5,0,No Failure
M,301.4,310.6,1630,30.3,2,No Failure
H,301.5,310.7,1790,26.2,8,No Failure
L,301.5,310.8,1350,58.5,13,No Failure
L,301.5,310.9,2760,8.0,15,Power Failure
L,301.4,310.7,1584,32.2,17,No Failure
L,301.4,310.7,1989,21.8,19,No Failure
L,301.4,310.8,1431,44.3,21,No Failure
L,301.4,310.7,1568,35.2,23,No Failure
M,301.4,310.6,1459,46.9,27,No Failure
L,301.5,310.7,1568,33.1,38,No Failure
M,301.4,310.7,1459,37.7,40,No Failure
L,301.3,310.6,1376,47.6,45,No Failure
L,301.3,310.6,1426,40.7,54,No Failure
L,301.5,310.7,1466,43.6,56,No Failure
M,301.7,310.9,1435,48.0,66,No Failure
M,301.5,310.7,1416,53.2,69,No Failure
H,301.5,310.7,1599,40.4,72,No Failure
L,301.5,310.7,1466,47.3,77,No Failure
L,301.5,310.7,1408,47.3,79,No Failure
L,301.4,310.5,1647,33.3,85,No Failure
L,301.4,310.7,1675,30.7,92,No Failure
L,301.4,310.7,1605,34.2,94,No Failure
M,301.4,310.7,1617,34.3,101,No Failure
L,301.4,310.6,1347,53.3,104,No Failure
L,301.3,310.4,1695,30.9,108,No Failure
M,301.3,310.4,1635,32.5,110,No Failure
L,301.2,310.4,1381,49.8,115,No Failure
M,301.2,310.4,1382,41.6,117,No Failure
L,301.3,310.3,1419,55.7,125,No Failure
L,301.3,310.3,1555,41.2,131,No Failure
L,301.4,310.4,1579,36.9,133,No Failure
L,301.5,310.5,1435,44.6,135,No Failure
L,301.6,310.6,1834,23.5,146,No Failure
L,301.5,310.4,1629,34.1,151,No Failure
L,301.5,310.5,1593,32.9,155,No Failure
M,301.5,310.5,1623,33.5,157,No Failure
L,301.5,310.5,1380,48.7,160,No Failure
L,301.6,310.6,1562,34.4,162,No Failure
L,301.6,310.7,1429,43.6,176,No Failure
M,301.5,310.5,1412,44.1,184,No Failure
L,301.5,310.5,1466,48.1,189,No Failure
L,301.4,310.4,1471,37.5,193,No Failure
L,301.4,310.3,1492,41.4,195,No Failure
L,301.3,310.3,1460,41.5,197,No Failure
L,301.5,310.6,1381,50.7,206,No Failure
H,301.6,310.6,1400,49.5,211,No Failure
L,301.7,310.6,1624,34.5,216,No Failure
L,301.6,310.6,1506,43.4,222,No Failure
L,301.6,310.6,1455,43.9,0,No Failure
