rowNumber,predictedValues
1689,Random Failures
1690,No Failure
1691,No Failure
1692,No Failure
1693,No Failure
1694,No Failure
1695,Tool Wear Failure
1696,Random Failures
1697,Overstrain Failure
1698,No Failure
1699,Random Failures
1700,No Failure
1701,No Failure
1702,No Failure
1703,No Failure
1704,No Failure
1705,No Failure
1706,No Failure
1707,No Failure
1708,Random Failures
1709,Random Failures
1710,No Failure
1711,No Failure
1712,No Failure
1713,Power Failure
1714,No Failure
1715,No Failure
1716,Random Failures
1717,No Failure
1718,No Failure
1719,No Failure
1720,No Failure
1721,No Failure
1722,No Failure
1723,Random Failures
1724,No Failure
1725,No Failure
1726,No Failure
1727,Random Failures
1728,No Failure
1729,No Failure
1730,No Failure
1731,No Failure
1732,No Failure
1733,Random Failures
1734,Tool Wear Failure
1735,No Failure
1736,Random Failures
1737,No Failure
1738,No Failure
1739,No Failure
1740,No Failure
1741,No Failure
1742,Tool Wear Failure
1743,No Failure
1744,No Failure
1745,Tool Wear Failure
1746,No Failure
1747,No Failure
1748,No Failure
1749,Random Failures
1750,Random Failures
1751,No Failure
1752,Random Failures
1753,Random Failures
1754,No Failure
1755,No Failure
1756,No Failure
1757,No Failure
1758,Random Failures
1759,No Failure
1760,No Failure
1761,Random Failures
1762,Random Failures
1763,No Failure
1764,No Failure
1765,No Failure
1766,No Failure
1767,No Failure
1768,Random Failures
1769,Random Failures
1770,Heat Dissipation Failure
1771,No Failure
1772,No Failure
1773,No Failure
1774,Tool Wear Failure
1775,No Failure
1776,No Failure
1777,No Failure
1778,No Failure
1779,No Failure
1780,Random Failures
1781,No Failure
1782,Random Failures
1783,No Failure
1784,Random Failures
1785,No Failure
1786,No Failure
1787,Tool Wear Failure
1788,Random Failures
1789,No Failure
1790,Random Failures
1791,No Failure
1792,No Failure
1793,No Failure
1794,Random Failures
1795,No Failure
1796,No Failure
1797,Random Failures
1798,Overstrain Failure
1799,Random Failures
1800,No Failure
1801,No Failure
1802,No Failure
1803,Random Failures
1804,No Failure
1805,No Failure
1806,No Failure
1807,Random Failures
1808,Overstrain Failure
1809,No Failure
1810,No Failure
1811,Random Failures
1812,No Failure
1813,No Failure
1814,Random Failures
1815,No Failure
1816,No Failure
1817,No Failure
1818,No Failure
1819,No Failure
1820,No Failure
1821,Random Failures
1822,Random Failures
1823,No Failure
1824,Tool Wear Failure
1825,No Failure
1826,No Failure
1827,No Failure
1828,Random Failures
1829,No Failure
1830,No Failure
1831,No Failure
1832,No Failure
1833,No Failure
1834,Random Failures
1835,No Failure
1836,Heat Dissipation Failure
1837,No Failure
1838,No Failure
1839,No Failure
1840,No Failure
1841,No Failure
1842,No Failure
1843,No Failure
1844,No Failure
1845,No Failure
1846,No Failure
1847,No Failure
1848,No Failure
1849,No Failure
1850,Random Failures
1851,No Failure
1852,Random Failures
1853,No Failure
1854,No Failure
1855,Random Failures
1856,No Failure
1857,No Failure
1858,No Failure
1859,Random Failures
1860,No Failure
1861,No Failure
1862,Random Failures
1863,Random Failures
1864,No Failure
1865,No Failure
1866,No Failure
1867,No Failure
1868,Overstrain Failure
1869,Heat Dissipation Failure
1870,No Failure
1871,No Failure
1872,No Failure
1873,Random Failures
1874,No Failure
1875,Random Failures
1876,No Failure
1877,Tool Wear Failure
1878,Tool Wear Failure
1879,No Failure
1880,Random Failures
1881,No Failure
1882,Random Failures
1883,No Failure
1884,No Failure
1885,Random Failures
1886,No Failure
1887,No Failure
1888,No Failure
1889,No Failure
1890,Heat Dissipation Failure
1891,No Failure
1892,No Failure
1893,No Failure
1894,No Failure
1895,No Failure
1896,No Failure
1897,Random Failures
1898,No Failure
1899,No Failure
1900,No Failure
1901,No Failure
1902,No Failure
1903,No Failure
1904,No Failure
1905,No Failure
1906,No Failure
1907,Random Failures
1908,Random Failures
1909,Tool Wear Failure
1910,No Failure
1911,No Failure
1912,No Failure
1913,No Failure
1914,No Failure
1915,No Failure
1916,No Failure
1917,No Failure
1918,No Failure
1919,No Failure
1920,Random Failures
1921,No Failure
1922,Random Failures
1923,Random Failures
1924,No Failure
1925,No Failure
1926,No Failure
1927,Random Failures
1928,No Failure
1929,No Failure
1930,Heat Dissipation Failure
1931,Heat Dissipation Failure
1932,Random Failures
1933,No Failure
1934,No Failure
1935,No Failure
1936,Tool Wear Failure
1937,No Failure
1938,No Failure
1939,No Failure
1940,Random Failures
1941,Random Failures
1942,Tool Wear Failure
1943,No Failure
1944,Random Failures
1945,No Failure
1946,No Failure
1947,No Failure
1948,Random Failures
1949,No Failure
1950,No Failure
1951,No Failure
1952,No Failure
1953,Random Failures
1954,No Failure
1955,Random Failures
1956,No Failure
1957,No Failure
1958,No Failure
1959,No Failure
1960,No Failure
1961,Random Failures
1962,Random Failures
1963,No Failure
1964,No Failure
1965,Tool Wear Failure
1966,Heat Dissipation Failure
1967,No Failure
1968,No Failure
1969,Power Failure
1970,Random Failures
1971,No Failure
1972,No Failure
1973,Random Failures
1974,No Failure
1975,No Failure
1976,No Failure
1977,Tool Wear Failure
1978,No Failure
1979,Random Failures
1980,No Failure
1981,Random Failures
1982,No Failure
1983,No Failure
1984,Random Failures
1985,No Failure
1986,No Failure
1987,Random Failures
1988,Random Failures
1989,No Failure
1990,No Failure
1991,No Failure
1992,No Failure
1993,No Failure
1994,No Failure
1995,No Failure
1996,No Failure
1997,No Failure
1998,No Failure
1999,No Failure
2000,No Failure
2001,No Failure
2002,No Failure
2003,Random Failures
2004,No Failure
2005,No Failure
2006,No Failure
2007,Tool Wear Failure
2008,No Failure
2009,Heat Dissipation Failure
2010,Random Failures
2011,No Failure
2012,No Failure
2013,No Failure
2014,Tool Wear Failure
2015,Random Failures
2016,Random Failures
2017,Random Failures
2018,No Failure
2019,Random Failures
2020,No Failure
2021,No Failure
2022,Random Failures
2023,No Failure
2024,No Failure
2025,No Failure
2026,Random Failures
2027,Tool Wear Failure
2028,Power Failure
2029,No Failure
2030,No Failure
2031,No Failure
2032,No Failure
2033,No Failure
2034,No Failure
2035,Random Failures
2036,No Failure
2037,No Failure
2038,No Failure
2039,No Failure
2040,No Failure
2041,No Failure
2042,No Failure
2043,No Failure
2044,Heat Dissipation Failure
2045,Random Failures
2046,No Failure
2047,Random Failures
2048,No Failure
2049,No Failure
2050,Tool Wear Failure
2051,No Failure
2052,No Failure
2053,No Failure
2054,Random Failures
2055,No Failure
2056,No Failure
2057,No Failure
2058,No Failure
2059,Tool Wear Failure
2060,No Failure
2061,No Failure
2062,No Failure
2063,Random Failures
2064,Random Failures
2065,Tool Wear Failure
2066,No Failure
2067,No Failure
2068,Random Failures
2069,No Failure
2070,Tool Wear Failure
2071,No Failure
2072,No Failure
2073,No Failure
2074,No Failure
2075,Tool Wear Failure
2076,No Failure
2077,Overstrain Failure
2078,No Failure
2079,No Failure
2080,No Failure
2081,No Failure
2082,No Failure
2083,No Failure
2084,No Failure
2085,Random Failures
2086,No Failure
2087,No Failure
2088,No Failure
2089,No Failure
2090,No Failure
2091,No Failure
2092,Random Failures
2093,Tool Wear Failure
2094,No Failure
2095,No Failure
2096,Random Failures
2097,Tool Wear Failure
2098,Tool Wear Failure
2099,Tool Wear Failure
2100,No Failure
2101,No Failure
2102,Random Failures
2103,No Failure
2104,Random Failures
2105,No Failure
2106,Tool Wear Failure
2107,Heat Dissipation Failure
2108,No Failure
2109,Tool Wear Failure
2110,No Failure
2111,Random Failures
2112,No Failure
2113,Tool Wear Failure
2114,Tool Wear Failure
2115,No Failure
2116,Overstrain Failure
2117,Random Failures
2118,No Failure
2119,No Failure
2120,No Failure
2121,Tool Wear Failure
2122,No Failure
2123,No Failure
2124,Heat Dissipation Failure
2125,Random Failures
2126,No Failure
2127,No Failure
2128,No Failure
2129,Power Failure
2130,No Failure
2131,No Failure
2132,No Failure
2133,Random Failures
2134,No Failure
2135,No Failure
2136,No Failure
2137,No Failure
2138,No Failure
2139,No Failure
2140,No Failure
2141,No Failure
2142,No Failure
2143,Random Failures
2144,Random Failures
2145,No Failure
2146,No Failure
2147,No Failure
2148,No Failure
2149,No Failure
2150,No Failure
2151,No Failure
2152,No Failure
2153,Random Failures
2154,No Failure
2155,No Failure
2156,Random Failures
2157,No Failure
2158,Heat Dissipation Failure
2159,No Failure
2160,No Failure
2161,Random Failures
2162,No Failure
2163,Tool Wear Failure
2164,Random Failures
2165,Heat Dissipation Failure
2166,No Failure
2167,Random Failures
2168,No Failure
2169,No Failure
2170,No Failure
2171,No Failure
2172,No Failure
2173,No Failure
2174,No Failure
2175,No Failure
2176,Random Failures
2177,No Failure
2178,No Failure
2179,No Failure
2180,Random Failures
2181,Random Failures
2182,Tool Wear Failure
2183,No Failure
2184,No Failure
2185,Random Failures
2186,Tool Wear Failure
2187,No Failure
2188,Random Failures
2189,No Failure
2190,No Failure
2191,No Failure
2192,No Failure
2193,No Failure
2194,No Failure
2195,No Failure
2196,No Failure
2197,Tool Wear Failure
2198,No Failure
2199,No Failure
2200,No Failure
2201,No Failure
2202,No Failure
2203,No Failure
2204,No Failure
2205,No Failure
2206,No Failure
2207,No Failure
2208,No Failure
2209,No Failure
2210,No Failure
2211,No Failure
2212,No Failure
2213,No Failure
2214,No Failure
2215,No Failure
2216,No Failure
2217,No Failure
2218,No Failure
2219,Random Failures
2220,Tool Wear Failure
2221,No Failure
2222,Random Failures
2223,Random Failures
2224,No Failure
2225,No Failure
2226,No Failure
2227,No Failure
2228,No Failure
2229,Random Failures
2230,No Failure
2231,Random Failures
2232,Heat Dissipation Failure
2233,No Failure
2234,Random Failures
2235,Overstrain Failure
2236,Tool Wear Failure
2237,Random Failures
2238,No Failure
2239,Random Failures
2240,Random Failures
2241,Power Failure
2242,Random Failures
2243,Tool Wear Failure
2244,Random Failures
2245,Tool Wear Failure
2246,Random Failures
2247,No Failure
2248,No Failure
2249,Random Failures
2250,No Failure
2251,No Failure
2252,No Failure
2253,No Failure
2254,No Failure
2255,No Failure
2256,Tool Wear Failure
2257,Overstrain Failure
2258,Overstrain Failure
2259,Random Failures
2260,Heat Dissipation Failure
2261,Random Failures
2262,No Failure
2263,No Failure
2264,No Failure
2265,No Failure
2266,No Failure
2267,Random Failures
2268,No Failure
2269,No Failure
2270,No Failure
2271,No Failure
2272,No Failure
2273,Heat Dissipation Failure
2274,Heat Dissipation Failure
2275,Random Failures
2276,Power Failure
2277,Heat Dissipation Failure
2278,No Failure
2279,No Failure
2280,No Failure
2281,Random Failures
2282,No Failure
2283,No Failure
2284,No Failure
2285,Random Failures
2286,Heat Dissipation Failure
2287,Random Failures
2288,No Failure
2289,Random Failures
2290,Tool Wear Failure
2291,No Failure
2292,Random Failures
2293,No Failure
2294,No Failure
2295,Random Failures
2296,Tool Wear Failure
2297,No Failure
2298,No Failure
2299,No Failure
2300,No Failure
2301,No Failure
2302,No Failure
2303,No Failure
2304,Random Failures
2305,No Failure
2306,Heat Dissipation Failure
2307,Random Failures
2308,No Failure
2309,No Failure
2310,No Failure
2311,No Failure
2312,No Failure
2313,Random Failures
2314,No Failure
2315,No Failure
2316,No Failure
2317,No Failure
2318,No Failure
2319,No Failure
2320,Tool Wear Failure
2321,No Failure
2322,Heat Dissipation Failure
2323,No Failure
2324,Random Failures
2325,No Failure
2326,No Failure
2327,No Failure
2328,No Failure
2329,No Failure
2330,No Failure
2331,Random Failures
2332,No Failure
2333,Random Failures
2334,No Failure
2335,No Failure
2336,Random Failures
2337,No Failure
2338,Random Failures
2339,No Failure
2340,No Failure
2341,Random Failures
2342,No Failure
2343,No Failure
2344,Random Failures
2345,No Failure
2346,No Failure
2347,Power Failure
2348,Random Failures
2349,No Failure
2350,Tool Wear Failure
2351,No Failure
2352,No Failure
2353,No Failure
2354,No Failure
2355,No Failure
2356,Random Failures
2357,No Failure
2358,No Failure
2359,No Failure
2360,No Failure
2361,Tool Wear Failure
2362,No Failure
2363,No Failure
2364,No Failure
2365,No Failure
2366,No Failure
2367,No Failure
2368,Random Failures
2369,No Failure
2370,No Failure
2371,No Failure
2372,No Failure
2373,No Failure
2374,Random Failures
2375,No Failure
2376,Random Failures
2377,No Failure
2378,Heat Dissipation Failure
2379,No Failure
2380,No Failure
2381,Random Failures
2382,No Failure
2383,No Failure
2384,Tool Wear Failure
2385,No Failure
2386,No Failure
2387,Random Failures
2388,No Failure
2389,No Failure
2390,No Failure
2391,Overstrain Failure
2392,Random Failures
2393,No Failure
2394,No Failure
2395,No Failure
2396,Random Failures
2397,Random Failures
2398,No Failure
2399,No Failure
2400,No Failure
2401,No Failure
2402,No Failure
2403,No Failure
2404,No Failure
2405,No Failure
2406,No Failure
2407,No Failure
2408,No Failure
2409,No Failure
2410,No Failure
2411,Heat Dissipation Failure
2412,No Failure
2413,No Failure
2414,Random Failures
2415,Random Failures
2416,No Failure
2417,Random Failures
2418,Random Failures
2419,Random Failures
2420,No Failure
2421,No Failure
2422,No Failure
2423,No Failure
2424,Overstrain Failure
2425,No Failure
2426,No Failure
2427,No Failure
2428,No Failure
2429,No Failure
2430,No Failure
2431,No Failure
2432,No Failure
2433,No Failure
2434,No Failure
2435,No Failure
2436,No Failure
2437,No Failure
2438,Heat Dissipation Failure
2439,No Failure
2440,Tool Wear Failure
2441,No Failure
2442,Heat Dissipation Failure
2443,No Failure
2444,Random Failures
2445,Overstrain Failure
2446,No Failure
2447,Tool Wear Failure
2448,No Failure
2449,No Failure
2450,No Failure
2451,No Failure
2452,No Failure
2453,Overstrain Failure
2454,No Failure
2455,Random Failures
2456,No Failure
2457,No Failure
2458,No Failure
2459,No Failure
2460,Overstrain Failure
2461,No Failure
2462,No Failure
2463,No Failure
2464,No Failure
2465,No Failure
2466,No Failure
2467,No Failure
2468,No Failure
2469,Random Failures
2470,No Failure
2471,No Failure
2472,Random Failures
2473,Random Failures
2474,No Failure
2475,No Failure
2476,No Failure
2477,No Failure
2478,No Failure
2479,No Failure
2480,Random Failures
2481,No Failure
2482,No Failure
2483,No Failure
2484,No Failure
2485,Random Failures
2486,Random Failures
2487,No Failure
2488,Power Failure
2489,No Failure
2490,Random Failures
2491,No Failure
2492,No Failure
2493,No Failure
2494,Random Failures
2495,No Failure
2496,No Failure
2497,Random Failures
2498,Random Failures
2499,No Failure
2500,Random Failures
2501,Random Failures
2502,No Failure
2503,No Failure
2504,Overstrain Failure
2505,No Failure
2506,Tool Wear Failure
2507,No Failure
2508,Random Failures
2509,Overstrain Failure
2510,No Failure
2511,No Failure
2512,Random Failures
2513,Random Failures
2514,No Failure
2515,No Failure
2516,Random Failures
2517,Tool Wear Failure
2518,Tool Wear Failure
2519,Random Failures
2520,No Failure
2521,No Failure
2522,Random Failures
2523,No Failure
2524,Random Failures
2525,No Failure
2526,No Failure
2527,Random Failures
2528,No Failure
2529,Random Failures
2530,No Failure
2531,No Failure
2532,No Failure
2533,Heat Dissipation Failure
2534,No Failure
2535,No Failure
2536,No Failure
2537,Random Failures
2538,No Failure
2539,Random Failures
2540,No Failure
2541,No Failure
2542,No Failure
2543,No Failure
2544,Random Failures
2545,Heat Dissipation Failure
2546,No Failure
2547,No Failure
2548,No Failure
2549,Random Failures
2550,No Failure
2551,No Failure
2552,No Failure
2553,No Failure
2554,No Failure
2555,Random Failures
2556,No Failure
2557,No Failure
2558,Heat Dissipation Failure
2559,No Failure
2560,Random Failures
2561,No Failure
2562,No Failure
2563,Random Failures
2564,No Failure
2565,No Failure
2566,No Failure
2567,No Failure
2568,No Failure
2569,Heat Dissipation Failure
2570,Random Failures
2571,Tool Wear Failure
2572,Tool Wear Failure
2573,Random Failures
2574,No Failure
2575,No Failure
2576,No Failure
2577,No Failure
2578,Random Failures
2579,No Failure
2580,Random Failures
2581,No Failure
2582,Random Failures
2583,No Failure
2584,No Failure
2585,Tool Wear Failure
2586,No Failure
2587,No Failure
2588,No Failure
2589,No Failure
2590,No Failure
2591,No Failure
2592,No Failure
2593,No Failure
2594,Heat Dissipation Failure
2595,Power Failure
2596,No Failure
2597,Tool Wear Failure
2598,No Failure
2599,Random Failures
2600,Random Failures
2601,No Failure
2602,No Failure
2603,Tool Wear Failure
2604,No Failure
2605,Random Failures
2606,No Failure
2607,Random Failures
2608,No Failure
2609,No Failure
2610,No Failure
2611,No Failure
2612,No Failure
2613,No Failure
2614,Heat Dissipation Failure
2615,No Failure
2616,No Failure
2617,No Failure
2618,Random Failures
2619,No Failure
2620,No Failure
2621,No Failure
2622,No Failure
2623,No Failure
2624,No Failure
2625,No Failure
2626,No Failure
2627,No Failure
2628,Overstrain Failure
2629,No Failure
2630,No Failure
2631,No Failure
2632,No Failure
2633,Heat Dissipation Failure
2634,Tool Wear Failure
2635,No Failure
2636,No Failure
2637,No Failure
2638,No Failure
2639,Random Failures
2640,Random Failures
2641,Tool Wear Failure
2642,No Failure
2643,No Failure
2644,No Failure
2645,No Failure
2646,No Failure
2647,No Failure
2648,No Failure
2649,Tool Wear Failure
2650,No Failure
2651,No Failure
2652,No Failure
2653,Random Failures
2654,No Failure
2655,Tool Wear Failure
2656,No Failure
2657,No Failure
2658,No Failure
2659,No Failure
2660,No Failure
2661,No Failure
2662,Tool Wear Failure
2663,Random Failures
2664,No Failure
2665,No Failure
2666,No Failure
2667,Random Failures
2668,No Failure
2669,No Failure
2670,Random Failures
2671,No Failure
2672,No Failure
2673,No Failure
2674,No Failure
2675,No Failure
2676,Random Failures
2677,No Failure
2678,Tool Wear Failure
2679,No Failure
2680,Power Failure
2681,Overstrain Failure
2682,No Failure
2683,Power Failure
2684,No Failure
2685,No Failure
2686,Tool Wear Failure
2687,No Failure
2688,No Failure
2689,Tool Wear Failure
2690,Random Failures
2691,No Failure
2692,No Failure
2693,No Failure
2694,No Failure
2695,No Failure
2696,No Failure
2697,No Failure
2698,No Failure
2699,Random Failures
2700,No Failure
2701,Random Failures
2702,No Failure
2703,No Failure
2704,No Failure
2705,No Failure
2706,No Failure
2707,Power Failure
2708,No Failure
2709,Random Failures
2710,Heat Dissipation Failure
2711,No Failure
2712,Tool Wear Failure
2713,Overstrain Failure
2714,No Failure
2715,Random Failures
2716,No Failure
2717,No Failure
2718,Random Failures
2719,No Failure
2720,No Failure
2721,No Failure
2722,No Failure
2723,No Failure
2724,Random Failures
2725,Heat Dissipation Failure
2726,No Failure
2727,No Failure
2728,No Failure
2729,Heat Dissipation Failure
2730,No Failure
2731,Random Failures
2732,No Failure
2733,No Failure
2734,No Failure
2735,No Failure
2736,No Failure
2737,Overstrain Failure
2738,Tool Wear Failure
2739,Random Failures
2740,No Failure
2741,No Failure
2742,No Failure
2743,No Failure
2744,No Failure
2745,No Failure
2746,No Failure
2747,Heat Dissipation Failure
2748,No Failure
2749,No Failure
2750,No Failure
2751,No Failure
2752,No Failure
2753,No Failure
2754,No Failure
2755,No Failure
2756,Tool Wear Failure
2757,No Failure
2758,No Failure
2759,Heat Dissipation Failure
2760,No Failure
2761,Heat Dissipation Failure
2762,No Failure
2763,Random Failures
2764,Overstrain Failure
2765,No Failure
2766,No Failure
2767,No Failure
2768,No Failure
2769,Random Failures
2770,Heat Dissipation Failure
2771,No Failure
2772,Random Failures
2773,Tool Wear Failure
2774,No Failure
2775,No Failure
2776,No Failure
2777,No Failure
2778,No Failure
2779,Random Failures
2780,No Failure
2781,Tool Wear Failure
2782,Random Failures
2783,Random Failures
2784,Random Failures
2785,Random Failures
2786,No Failure
2787,No Failure
2788,No Failure
2789,No Failure
2790,Tool Wear Failure
2791,Random Failures
2792,Tool Wear Failure
2793,No Failure
2794,No Failure
2795,No Failure
2796,No Failure
2797,No Failure
2798,No Failure
2799,No Failure
2800,Random Failures
2801,No Failure
2802,No Failure
2803,Tool Wear Failure
2804,No Failure
2805,No Failure
2806,No Failure
2807,No Failure
2808,Heat Dissipation Failure
2809,No Failure
2810,No Failure
2811,No Failure
2812,Random Failures
2813,Random Failures
2814,Random Failures
2815,No Failure
2816,Random Failures
2817,Random Failures
2818,No Failure
2819,No Failure
2820,No Failure
2821,No Failure
2822,No Failure
2823,Random Failures
2824,No Failure
2825,No Failure
2826,No Failure
2827,No Failure
2828,No Failure
2829,Tool Wear Failure
2830,No Failure
2831,Random Failures
2832,No Failure
2833,No Failure
2834,Random Failures
2835,No Failure
2836,No Failure
2837,No Failure
2838,No Failure
2839,No Failure
2840,No Failure
2841,No Failure
2842,Random Failures
2843,No Failure
2844,Random Failures
2845,No Failure
2846,No Failure
2847,No Failure
2848,No Failure
2849,No Failure
2850,No Failure
2851,No Failure
2852,No Failure
2853,No Failure
2854,No Failure
2855,No Failure
2856,No Failure
2857,Power Failure
2858,Random Failures
2859,No Failure
2860,No Failure
2861,Random Failures
2862,Random Failures
2863,No Failure
2864,No Failure
2865,No Failure
2866,Random Failures
2867,No Failure
2868,No Failure
2869,Power Failure
2870,No Failure
2871,No Failure
2872,No Failure
2873,No Failure
2874,Random Failures
2875,No Failure
2876,No Failure
2877,No Failure
2878,Random Failures
2879,No Failure
2880,Random Failures
2881,No Failure
2882,Random Failures
2883,No Failure
2884,No Failure
2885,Heat Dissipation Failure
2886,No Failure
2887,No Failure
2888,Overstrain Failure
2889,Power Failure
2890,No Failure
2891,No Failure
2892,No Failure
2893,Random Failures
2894,No Failure
2895,Tool Wear Failure
2896,Random Failures
2897,No Failure
2898,No Failure
2899,No Failure
2900,Heat Dissipation Failure
2901,No Failure
2902,No Failure
2903,No Failure
2904,No Failure
2905,No Failure
2906,Heat Dissipation Failure
2907,Random Failures
2908,Heat Dissipation Failure
2909,Overstrain Failure
2910,No Failure
2911,Random Failures
2912,Random Failures
2913,No Failure
2914,No Failure
2915,Random Failures
2916,No Failure
2917,Random Failures
2918,No Failure
2919,No Failure
2920,No Failure
2921,No Failure
2922,No Failure
2923,Random Failures
2924,Heat Dissipation Failure
2925,No Failure
2926,Random Failures
2927,No Failure
2928,Random Failures
2929,No Failure
2930,No Failure
2931,No Failure
2932,Random Failures
2933,No Failure
2934,No Failure
2935,Random Failures
2936,No Failure
2937,No Failure
2938,Tool Wear Failure
2939,No Failure
2940,Tool Wear Failure
2941,No Failure
2942,Random Failures
2943,Random Failures
2944,No Failure
2945,No Failure
2946,No Failure
2947,Random Failures
2948,No Failure
2949,No Failure
2950,No Failure
2951,No Failure
2952,No Failure
2953,Heat Dissipation Failure
2954,Tool Wear Failure
2955,No Failure
2956,No Failure
2957,No Failure
2958,No Failure
2959,No Failure
2960,No Failure
2961,No Failure
2962,Overstrain Failure
2963,No Failure
2964,No Failure
2965,No Failure
2966,Random Failures
2967,No Failure
2968,No Failure
2969,No Failure
2970,Random Failures
2971,Random Failures
2972,No Failure
2973,No Failure
2974,Tool Wear Failure
2975,No Failure
2976,Heat Dissipation Failure
2977,No Failure
2978,No Failure
2979,No Failure
2980,Overstrain Failure
2981,No Failure
2982,Tool Wear Failure
2983,No Failure
2984,Overstrain Failure
2985,No Failure
2986,Heat Dissipation Failure
2987,No Failure
2988,No Failure
2989,No Failure
2990,No Failure
2991,No Failure
2992,No Failure
2993,Overstrain Failure
2994,No Failure
2995,Random Failures
2996,No Failure
2997,No Failure
2998,No Failure
2999,Random Failures
3000,Power Failure
3001,Random Failures
3002,No Failure
3003,No Failure
3004,Overstrain Failure
3005,No Failure
3006,No Failure
3007,No Failure
3008,Random Failures
3009,No Failure
3010,No Failure
3011,No Failure
3012,Random Failures
3013,No Failure
3014,No Failure
3015,Random Failures
3016,No Failure
3017,No Failure
3018,No Failure
3019,No Failure
3020,Random Failures
3021,No Failure
3022,No Failure
3023,No Failure
3024,No Failure
3025,No Failure
3026,Random Failures
3027,No Failure
3028,No Failure
3029,No Failure
3030,Random Failures
3031,No Failure
3032,No Failure
3033,No Failure
3034,Random Failures
3035,No Failure
3036,No Failure
3037,No Failure
3038,No Failure
3039,No Failure
3040,No Failure
3041,No Failure
3042,Random Failures
3043,Random Failures
3044,Random Failures
3045,No Failure
3046,No Failure
3047,No Failure
3048,No Failure
3049,Random Failures
3050,Overstrain Failure
3051,No Failure
3052,No Failure
3053,Random Failures
3054,No Failure
3055,No Failure
3056,Random Failures
3057,Random Failures
3058,No Failure
3059,Random Failures
3060,No Failure
3061,Random Failures
3062,No Failure
3063,No Failure
3064,No Failure
3065,No Failure
3066,Random Failures
3067,No Failure
3068,Overstrain Failure
3069,No Failure
3070,No Failure
3071,No Failure
3072,No Failure
3073,No Failure
3074,No Failure
3075,No Failure
3076,No Failure
3077,Random Failures
3078,Random Failures
3079,No Failure
3080,No Failure
3081,No Failure
3082,No Failure
3083,No Failure
3084,No Failure
3085,No Failure
3086,Random Failures
3087,No Failure
3088,No Failure
3089,Random Failures
3090,No Failure
3091,No Failure
3092,No Failure
3093,No Failure
3094,Random Failures
3095,Tool Wear Failure
3096,Tool Wear Failure
3097,No Failure
3098,No Failure
3099,No Failure
3100,No Failure
3101,Tool Wear Failure
3102,No Failure
3103,No Failure
3104,Random Failures
3105,No Failure
3106,No Failure
3107,Random Failures
3108,Random Failures
3109,No Failure
3110,No Failure
3111,No Failure
3112,No Failure
3113,No Failure
3114,No Failure
3115,No Failure
3116,Overstrain Failure
3117,No Failure
3118,No Failure
3119,No Failure
3120,Random Failures
3121,Tool Wear Failure
3122,No Failure
3123,Random Failures
3124,No Failure
3125,No Failure
3126,Heat Dissipation Failure
3127,No Failure
3128,Random Failures
3129,No Failure
3130,No Failure
3131,No Failure
3132,No Failure
3133,No Failure
3134,No Failure
3135,Tool Wear Failure
3136,Heat Dissipation Failure
3137,Power Failure
3138,No Failure
3139,No Failure
3140,No Failure
3141,No Failure
3142,No Failure
3143,No Failure
3144,No Failure
3145,No Failure
3146,No Failure
3147,No Failure
3148,No Failure
3149,Tool Wear Failure
3150,No Failure
3151,Random Failures
3152,Random Failures
3153,No Failure
3154,No Failure
3155,Random Failures
3156,Random Failures
3157,No Failure
3158,Random Failures
3159,Random Failures
3160,No Failure
3161,No Failure
3162,No Failure
3163,No Failure
3164,Tool Wear Failure
3165,No Failure
3166,Random Failures
3167,Tool Wear Failure
3168,No Failure
3169,No Failure
3170,No Failure
3171,No Failure
3172,No Failure
3173,No Failure
3174,No Failure
3175,No Failure
3176,No Failure
3177,No Failure
3178,No Failure
3179,Random Failures
3180,No Failure
3181,No Failure
3182,Random Failures
3183,No Failure
3184,No Failure
3185,No Failure
3186,Random Failures
3187,No Failure
3188,No Failure
3189,No Failure
3190,No Failure
3191,No Failure
3192,No Failure
3193,Random Failures
3194,No Failure
3195,No Failure
3196,No Failure
3197,No Failure
3198,No Failure
3199,No Failure
3200,No Failure
3201,Tool Wear Failure
3202,No Failure
3203,No Failure
3204,No Failure
3205,No Failure
3206,Tool Wear Failure
3207,No Failure
3208,Random Failures
3209,No Failure
3210,No Failure
3211,Random Failures
3212,No Failure
3213,Random Failures
3214,No Failure
3215,No Failure
3216,No Failure
3217,Overstrain Failure
3218,Heat Dissipation Failure
3219,Heat Dissipation Failure
3220,Heat Dissipation Failure
3221,Heat Dissipation Failure
3222,Heat Dissipation Failure
3223,Heat Dissipation Failure
3224,Heat Dissipation Failure
3225,Heat Dissipation Failure
3226,Tool Wear Failure
3227,Heat Dissipation Failure
3228,Heat Dissipation Failure
3229,Heat Dissipation Failure
3230,Heat Dissipation Failure
3231,Heat Dissipation Failure
3232,Heat Dissipation Failure
3233,Heat Dissipation Failure
3234,Heat Dissipation Failure
3235,Heat Dissipation Failure
3236,Heat Dissipation Failure
3237,Heat Dissipation Failure
3238,Heat Dissipation Failure
3239,Heat Dissipation Failure
3240,Heat Dissipation Failure
3241,Heat Dissipation Failure
3242,Heat Dissipation Failure
3243,Heat Dissipation Failure
3244,Heat Dissipation Failure
3245,Heat Dissipation Failure
3246,Heat Dissipation Failure
3247,Heat Dissipation Failure
3248,Heat Dissipation Failure
3249,Heat Dissipation Failure
3250,Heat Dissipation Failure
3251,Heat Dissipation Failure
